variable,col1
aggression,0.681070228818
jumping,0.593797641853
interceptions,0.483307331921
penalties,0.452186916049
heading_accuracy,0.442947955045
balance,0.437953788887
free_kick_accuracy,0.428195536342
strength,0.385768887122
sliding_tackle,0.344074854016
sprint_speed,0.324205877076
standing_tackle,0.257935746479
shot_power,0.250692572907
curve,0.232645451756
agility,0.193754684782
acceleration,0.181729768951
marking,0.181647714344
positioning,0.181107337461
long_passing,0.180593907575
dribbling,0.16821838249
vision,0.165812530195
gk_diving,0.156252941043
gk_positioning,0.153559838864
long_shots,0.147033561607
volleys,0.14650942524
crossing,0.143149515462
finishing,0.138404445451
short_passing,0.130656964318
gk_reflexes,0.10986931814
gk_kicking,0.0904773797746
stamina,0.0732182752734
gk_handling,0.058477056671
reactions,0.0545434425608
ball_control,0.0302007215297
