variable,col1
acceleration,0.46249722719
marking,0.373777285196
shot_power,0.331124625531
balance,0.304962443163
dribbling,0.281499220611
crossing,0.278446358954
positioning,0.239002721772
vision,0.218353399433
volleys,0.211448445189
penalties,0.203643505183
sprint_speed,0.199456040265
free_kick_accuracy,0.193785399961
long_shots,0.192399334244
aggression,0.185611850989
sliding_tackle,0.15849168404
agility,0.155859318363
curve,0.152853482103
jumping,0.144423273156
strength,0.122215055725
long_passing,0.0985591148957
heading_accuracy,0.0717540755705
ball_control,0.0573018018881
stamina,0.053545755549
reactions,0.0491401793383
standing_tackle,0.0463787531276
short_passing,0.041745154481
interceptions,0.039683393746
finishing,0.0383581029484
gk_reflexes,0.0381446576865
gk_diving,0.0176252321117
gk_handling,0.0144981966336
gk_positioning,0.0136776265625
gk_kicking,0.00973728439163
