name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Rudy Riou,70.2,20.2,19.8,18.2,26.4,19.8,20.6,19.0,19.4,20.4,21.4,40.0,41.0,54.0,65.4,57.0,28.4,58.4,31.0,62.0,21.4,31.4,21.4,21.0,32.2,30.4,21.8,19.0,19.8,69.0,70.4,65.6,72.4,73.0,gk
Jovan Kostovski,65.0,28.0,69.5,71.5,57.0,65.5,47.5,37.0,34.0,30.0,58.0,56.0,53.0,48.0,63.0,52.0,73.5,60.0,59.0,77.5,65.0,59.0,19.0,68.0,56.0,61.5,14.0,22.0,12.0,16.0,13.0,15.0,16.0,9.0,for
Flavien La Postollec,67.0,47.0,45.0,65.0,69.0,33.0,50.0,46.0,50.0,66.0,63.0,66.0,53.0,64.0,68.0,68.0,74.0,65.0,68.0,66.0,59.0,82.0,70.0,49.0,64.0,54.0,63.0,66.0,64.0,15.0,10.0,13.0,8.0,9.0,for
Pieterjan Monteyne,65.5,68.0,44.0,57.0,64.0,65.0,57.5,63.5,65.0,65.0,63.0,65.0,62.5,70.5,64.0,72.0,67.0,64.0,75.5,60.5,68.0,65.0,66.5,52.5,58.5,63.5,64.5,67.0,66.5,11.5,10.5,14.5,9.5,14.5,mid
Jordan Remacle,69.6,72.6,62.6,36.6,65.6,63.6,72.0,69.6,70.6,64.6,70.2,77.0,72.0,75.0,67.6,78.0,65.6,73.2,70.6,45.4,68.4,55.2,27.6,65.8,71.4,75.6,24.6,29.6,28.6,9.6,5.6,10.6,6.6,11.6,for
John Bostock,66.0,57.0,65.0,48.0,72.0,66.0,68.0,54.0,68.0,67.0,73.0,74.0,72.0,71.0,67.0,64.0,74.5,70.0,78.0,67.0,66.0,65.0,30.0,63.0,67.0,65.0,19.0,48.0,45.0,13.0,14.0,11.0,14.0,12.0,mid
Kim Ojo,68.5,52.0,68.0,73.0,51.0,68.0,57.5,52.0,44.0,48.0,61.5,71.5,72.0,33.0,66.5,53.0,73.5,75.0,68.5,92.0,66.0,64.0,42.0,68.5,54.0,62.0,24.0,23.0,20.0,12.0,10.0,7.0,11.0,13.0,for
David Vandenbroeck,66.0,33.0,32.0,68.0,58.0,33.0,36.0,44.0,49.0,55.0,53.0,33.0,32.0,41.0,63.0,43.0,56.0,56.0,60.0,78.0,42.0,66.0,70.0,29.0,43.0,45.0,66.0,67.0,63.0,9.0,16.0,8.0,16.0,11.0,def
Romero Regales,63.0,28.0,67.0,68.0,47.0,42.0,66.0,34.0,27.0,32.0,64.0,65.0,67.0,44.0,58.0,48.0,66.0,38.0,57.0,89.0,62.0,29.0,14.0,53.0,48.0,57.0,11.0,20.0,16.0,16.0,6.0,15.0,12.0,9.0,for
Kanu,72.0,32.57,38.0,76.0,59.71,33.0,49.14,30.14,33.57,60.14,56.0,67.0,71.0,55.14,66.86,54.0,58.0,71.57,64.0,85.0,37.29,88.0,69.57,28.0,36.14,47.14,71.29,70.43,70.0,6.0,8.0,13.0,10.0,7.0,def
Romain Reynaud,68.0,28.0,31.0,62.0,59.0,19.0,31.0,32.0,32.0,57.0,56.0,38.0,39.0,39.0,65.0,57.0,45.0,67.0,68.0,77.0,28.0,85.0,66.0,34.0,58.0,36.0,71.0,69.0,66.0,14.0,7.0,14.0,11.0,16.0,def
Thomas Guimaraes Azevedo,66.0,64.0,61.0,27.0,64.0,57.0,67.0,67.0,69.0,61.0,66.0,78.0,76.0,76.0,63.0,92.0,59.0,79.0,66.0,56.0,62.0,50.0,27.0,64.0,59.0,55.0,22.0,25.0,30.0,16.0,9.0,9.0,12.0,8.0,for
Alessandro Cerigioni,65.0,54.0,64.0,60.0,66.0,62.0,68.0,54.0,54.0,62.0,69.0,76.0,77.0,67.0,63.0,65.0,63.0,60.0,68.0,57.0,66.0,43.0,29.0,61.0,64.0,53.0,16.0,14.0,20.0,10.0,10.0,8.0,12.0,14.0,for
Houdret,61.33,51.67,32.67,68.67,62.33,51.67,60.33,53.67,47.67,60.0,64.67,62.0,69.33,61.0,62.67,59.0,60.67,61.33,71.67,67.0,53.67,58.67,58.0,58.0,60.0,56.67,46.67,58.67,42.67,6.67,7.67,13.67,14.67,12.67,mid
Pierre-Yves Ngawa,64.33,58.5,32.5,62.67,56.5,31.5,60.5,38.5,31.5,51.5,61.5,75.0,79.5,71.0,62.5,59.0,55.5,70.0,67.5,72.0,44.5,66.5,59.17,37.5,38.5,40.5,63.83,66.83,65.0,6.5,13.5,10.5,7.5,8.5,def
Yohan Croizet,66.33,67.33,50.33,53.0,65.33,45.33,67.67,44.67,62.0,62.0,66.67,72.67,70.33,67.67,60.67,68.33,61.67,63.0,76.0,66.67,72.0,54.0,48.0,67.0,65.67,63.0,29.0,40.67,36.67,10.0,6.0,16.0,10.0,15.0,mid
Nicolas Delporte,65.0,59.0,25.0,56.0,62.0,24.0,46.0,32.0,33.0,56.0,64.0,65.0,67.0,63.0,64.0,60.0,51.0,63.0,70.0,62.0,28.0,68.0,65.0,43.0,38.0,35.0,66.0,66.0,68.0,9.0,13.0,14.0,8.0,15.0,def
Leandro Trossard,63.0,52.0,68.33,57.0,59.0,61.0,67.0,42.0,40.0,48.0,68.0,67.0,68.0,69.0,62.0,86.0,63.0,61.0,58.0,49.0,62.0,47.0,18.0,61.0,58.0,55.0,13.0,16.0,18.0,14.0,8.0,11.0,7.0,7.0,for
Samuel Asamoah,64.0,53.0,46.0,45.0,66.0,37.0,71.0,36.0,39.0,57.0,74.0,69.0,65.0,72.0,64.0,90.0,44.0,46.0,70.0,51.0,53.0,81.0,59.0,58.0,63.0,48.0,62.0,56.0,59.0,9.0,11.0,15.0,14.0,9.0,mid
Kevin Tapoko,63.0,33.0,54.0,72.0,68.0,48.0,65.0,33.0,29.0,64.0,67.0,63.0,41.0,52.0,63.0,42.0,53.0,45.0,75.0,83.0,56.0,57.0,67.0,60.0,59.0,62.0,23.0,33.0,18.0,8.0,9.0,12.0,12.0,16.0,mid
Konstantinos Rougalas,62.0,24.0,23.0,60.0,32.0,27.0,30.0,22.0,23.0,21.0,36.0,59.0,53.0,47.0,56.0,45.0,52.0,63.0,69.0,76.0,16.0,64.0,59.0,21.0,28.0,32.0,67.0,67.0,63.0,7.0,14.0,13.0,7.0,9.0,def
Din Sula,55.5,27.0,58.0,57.0,56.0,39.0,48.0,36.0,42.0,31.0,57.0,70.0,67.0,53.0,50.5,63.0,42.0,55.0,35.0,68.0,53.0,33.0,13.0,53.0,51.5,67.0,11.0,17.0,13.0,5.0,7.0,6.0,11.0,14.0,for
