variable,col1
long_passing,0.428653991749
vision,0.422926471126
long_shots,0.419521001653
aggression,0.370703215295
sprint_speed,0.356654317092
crossing,0.345843101788
acceleration,0.300478980687
interceptions,0.279236455624
short_passing,0.229729083463
free_kick_accuracy,0.20262819386
dribbling,0.200783698744
curve,0.195719761697
standing_tackle,0.191705445424
strength,0.185481557991
heading_accuracy,0.159868102929
agility,0.14824709041
sliding_tackle,0.14095263304
marking,0.140292518955
positioning,0.139081293564
jumping,0.132892452775
ball_control,0.130487899929
balance,0.120678088835
volleys,0.110428375451
stamina,0.106476196198
reactions,0.106121134743
penalties,0.0958617450332
shot_power,0.0951842038331
finishing,0.0863116370796
gk_handling,0.0452816392843
gk_reflexes,0.0406587289609
gk_diving,0.0254913718461
gk_kicking,0.0253729689045
gk_positioning,0.0202466420328
