variable,col1
penalties,0.61624013018
balance,0.591284827564
strength,0.529247994258
heading_accuracy,0.504540500844
crossing,0.415601298085
jumping,0.385317359427
shot_power,0.359784932038
aggression,0.35210503831
volleys,0.34200689509
agility,0.334598352453
interceptions,0.333384718841
free_kick_accuracy,0.319210192031
dribbling,0.312293768369
standing_tackle,0.292917120592
stamina,0.28968688439
long_passing,0.286701319079
sprint_speed,0.257463778053
sliding_tackle,0.253947653585
finishing,0.240198372825
short_passing,0.231911531166
curve,0.225491469186
positioning,0.199979820457
marking,0.196591274359
vision,0.18443113263
long_shots,0.152337956545
acceleration,0.131698765148
gk_diving,0.123493448961
reactions,0.120011453158
gk_positioning,0.116008551114
ball_control,0.102077872443
gk_kicking,0.0805017239775
gk_reflexes,0.0618461186428
gk_handling,0.0570877461979
