name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Ibrahima Conte,72.25,67.25,43.5,39.5,67.5,52.5,79.5,58.5,56.5,64.5,77.0,85.5,82.75,92.0,68.5,83.0,56.5,84.5,82.75,43.0,51.5,61.5,47.5,67.0,61.5,53.5,37.5,43.5,38.5,8.5,5.5,15.5,12.5,9.5,mid
Stefano Okaka Chuka,76.0,50.0,74.17,79.0,70.17,67.0,75.0,58.0,48.0,29.0,75.0,74.0,78.0,69.0,72.67,58.0,79.0,81.0,77.33,91.33,69.0,69.67,21.0,78.0,59.67,68.0,15.0,25.0,20.0,7.0,7.0,7.0,5.0,8.0,for
Guillaume Gillet,72.56,72.56,72.0,76.56,73.56,69.0,69.56,64.56,64.56,69.56,71.56,69.67,72.89,67.0,74.56,60.0,72.56,78.0,83.0,76.0,71.56,70.33,69.33,76.0,72.56,68.56,66.56,69.56,76.56,8.56,13.56,14.56,11.56,9.56,mid
Anthony Vanden Borre,72.4,71.6,56.6,68.4,73.6,56.6,77.2,58.6,48.6,68.6,75.2,71.4,76.6,70.0,69.2,63.0,68.6,75.0,77.6,80.6,63.6,76.2,63.6,71.6,70.4,66.6,67.2,74.4,76.0,9.6,11.6,14.6,12.6,5.6,def
Olivier Deschacht,71.33,65.17,27.17,71.17,65.17,25.17,47.0,45.17,35.17,59.17,62.0,61.17,64.5,59.5,71.33,57.33,65.17,67.17,75.0,70.0,53.17,71.5,77.67,45.33,56.17,35.17,72.5,74.5,71.5,5.17,13.17,9.17,11.17,5.17,def
Silvio Proto,74.33,19.67,17.67,17.67,32.67,19.67,15.67,15.67,19.67,36.67,31.67,60.0,58.0,61.0,78.0,53.67,36.67,82.33,31.0,62.67,18.33,21.67,27.0,20.33,42.33,24.67,15.67,15.67,19.67,80.0,68.67,71.67,69.0,78.33,gk
Steven Defour,76.33,70.67,64.67,61.33,78.67,63.33,74.0,69.33,69.0,76.67,78.0,68.33,67.33,72.67,77.33,79.33,73.33,72.33,82.33,66.0,71.67,78.67,80.33,71.33,76.0,69.67,70.0,73.33,69.0,6.33,5.33,13.33,15.33,9.33,mid
Matias Suarez,74.6,71.6,76.0,61.8,74.8,74.8,79.0,73.8,69.8,67.8,80.0,71.0,70.8,75.2,79.8,71.8,75.8,66.6,44.8,57.8,76.8,32.8,19.4,77.8,75.0,67.8,16.2,28.8,23.8,8.8,15.8,10.8,12.8,7.8,for
Alexander Buettner,75.0,75.0,56.0,66.0,69.0,60.0,74.0,74.0,77.0,67.0,75.0,81.0,86.0,76.0,75.0,75.0,83.0,80.0,89.0,69.0,71.0,75.0,65.0,66.0,64.0,74.0,73.0,77.0,76.0,8.0,11.0,14.0,14.0,10.0,def
Ivan Obradovic,70.0,75.33,50.33,52.33,70.33,57.33,68.33,58.33,54.33,67.33,72.33,76.0,78.33,74.0,75.33,66.67,59.33,66.67,75.0,69.0,53.33,60.33,69.33,54.33,68.33,49.33,61.67,67.33,68.67,5.33,12.33,5.33,9.33,14.33,def
