name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Pieterjan Monteyne,65.5,68.0,44.0,57.0,64.0,65.0,57.5,63.5,65.0,65.0,63.0,65.0,62.5,70.5,64.0,72.0,67.0,64.0,75.5,60.5,68.0,65.0,66.5,52.5,58.5,63.5,64.5,67.0,66.5,11.5,10.5,14.5,9.5,14.5,mid
Mustapha Oussalah,66.33,70.67,55.67,52.67,66.33,61.33,66.67,68.33,62.33,64.0,66.0,66.67,64.0,68.67,66.67,71.33,67.67,66.67,72.0,62.0,65.0,63.67,68.33,65.33,65.0,62.33,62.33,66.33,64.33,7.33,5.33,15.33,7.33,14.33,for
Toze Marreco,70.5,60.0,74.0,70.0,59.0,66.0,67.0,46.0,48.0,44.5,70.0,67.5,69.5,61.5,71.0,59.0,77.5,68.5,70.5,74.0,52.5,61.0,35.0,74.0,37.0,73.5,28.0,37.0,35.0,12.0,10.0,13.0,8.0,16.0,for
David Hubert,67.0,53.0,38.33,68.17,66.67,63.67,53.83,55.5,53.33,63.5,63.33,58.0,56.33,60.0,66.33,62.67,70.33,64.5,73.0,68.0,64.5,68.33,74.67,46.33,57.83,56.0,63.5,68.33,66.33,12.33,13.33,15.33,8.33,11.33,mid
Nikola Gulan,67.33,60.33,46.33,60.33,65.33,48.33,65.33,58.33,41.33,59.33,70.67,75.0,76.67,68.0,65.33,57.0,59.67,77.67,77.0,70.0,59.33,72.33,65.33,55.33,43.33,42.33,61.33,70.33,68.67,13.33,5.33,6.33,15.33,6.33,def
Vagner,73.5,19.5,19.0,21.5,35.5,17.5,18.5,21.5,21.0,33.5,25.5,39.0,42.0,61.0,73.0,53.0,27.5,71.0,43.0,69.5,19.0,41.5,22.0,17.0,38.0,19.0,18.0,18.0,21.0,77.75,68.75,68.25,72.25,75.75,gk
Elimane Coulibaly,64.33,46.33,68.33,74.0,63.33,63.33,51.33,36.33,32.67,38.33,56.33,42.67,45.33,44.33,56.33,37.0,71.33,56.33,38.33,88.67,61.33,68.33,31.67,74.0,68.67,60.33,21.67,31.67,24.67,18.67,14.67,18.67,12.67,17.67,for
Valentine Viola,71.29,68.0,68.14,67.0,69.43,70.0,76.14,55.0,67.0,65.0,74.71,74.0,73.0,80.29,72.0,74.43,73.86,71.0,68.0,71.0,73.29,58.86,22.0,70.0,67.0,65.0,18.0,24.0,22.0,15.0,7.0,16.0,8.0,6.0,for
Noe Dussenne,65.0,40.6,25.2,69.8,55.4,32.4,34.6,27.6,28.6,46.8,50.4,51.6,59.6,57.0,57.6,49.2,49.0,57.6,64.0,74.0,20.6,60.0,66.6,27.6,38.4,39.6,67.6,66.6,64.8,11.6,15.6,14.6,6.6,10.6,def
Teddy Mezague,67.0,43.0,31.0,71.0,44.0,19.0,22.0,27.0,21.0,48.0,36.0,59.0,64.0,51.0,65.0,49.0,31.0,64.0,55.0,83.0,38.0,75.0,62.0,34.0,40.0,35.0,66.0,69.0,68.0,11.0,9.0,14.0,14.0,13.0,mid
Marko Scepovic,68.17,31.67,71.67,72.83,69.67,67.33,66.67,50.67,55.67,68.67,64.83,56.67,56.67,56.0,60.33,53.33,69.67,71.67,64.0,73.0,72.67,65.67,30.67,71.67,60.67,57.67,30.67,31.67,38.67,7.67,12.67,6.67,7.67,13.67,for
Dimitri Mohamed,60.0,53.0,54.33,56.33,57.33,50.33,61.67,48.33,44.67,54.0,59.67,78.0,75.67,74.0,57.33,65.0,58.33,55.67,63.0,62.0,53.33,56.33,54.0,57.67,55.33,45.33,52.33,56.33,55.33,13.33,9.33,12.33,13.33,10.33,for
Nikola Aksentijevic,64.0,65.0,22.0,62.0,62.0,30.0,67.0,56.0,31.0,57.0,60.0,71.0,69.0,62.0,57.0,68.0,22.0,72.0,64.0,61.0,24.0,64.0,61.0,39.0,32.0,63.0,64.0,65.0,65.0,11.0,15.0,10.0,10.0,11.0,def
Tristan Dingome,66.83,65.5,56.5,58.5,67.5,53.5,68.5,59.5,56.5,62.0,69.0,71.0,78.0,76.0,68.5,79.0,67.0,64.5,81.0,65.0,56.5,63.5,60.5,64.0,56.5,54.5,59.5,58.5,55.0,5.5,10.5,10.5,10.5,9.5,for
Thibault Peyre,64.0,58.33,27.0,63.67,51.67,31.67,37.33,31.67,26.67,46.33,53.0,64.33,65.33,61.33,62.67,65.0,45.67,70.67,74.0,62.33,27.67,68.67,63.67,24.67,35.67,47.67,66.67,67.0,66.67,11.67,13.67,10.67,6.67,10.67,def
Julian Michel,65.67,68.33,49.67,47.67,69.67,63.33,63.67,68.0,68.67,71.0,67.0,54.0,56.0,69.0,63.33,68.0,66.0,53.33,68.0,55.0,68.33,56.67,64.67,55.67,66.67,67.0,51.67,56.67,53.67,12.67,8.67,13.67,13.67,11.67,mid
Luigi Vaccaro,60.0,46.0,37.0,56.0,62.0,38.0,54.0,37.0,41.0,57.0,61.0,63.0,61.0,62.0,58.0,61.0,58.0,50.0,65.0,66.0,48.0,74.0,61.0,48.0,55.0,38.0,48.0,58.0,56.0,15.0,7.0,12.0,12.0,8.0,mid
Filip Markovic,63.67,69.33,58.33,50.67,67.33,70.0,65.67,70.67,61.67,62.67,61.67,64.33,66.0,62.67,50.67,53.33,58.67,54.67,61.0,57.0,56.33,48.67,50.0,67.67,61.0,59.67,49.67,43.67,46.67,6.67,13.67,6.67,7.67,14.67,mid
Jean-Charles Castelletto,61.0,51.25,23.25,59.25,57.25,31.25,39.0,48.25,22.25,54.25,51.0,84.0,85.0,60.0,52.0,48.75,49.25,82.5,75.0,70.0,25.25,51.75,61.0,28.25,27.25,35.25,62.5,61.25,58.25,11.25,13.25,13.25,13.25,8.25,def
Anice Badri,67.33,62.67,69.33,58.67,64.67,63.67,71.0,58.67,61.67,58.67,68.0,78.0,79.0,76.0,66.67,74.0,67.33,68.33,60.0,58.0,70.67,41.67,23.67,68.67,64.67,64.67,17.67,21.67,21.67,7.67,6.67,10.67,7.67,13.67,for
Francois Marquet,62.0,40.0,37.0,50.0,64.0,35.0,60.0,44.0,54.0,63.0,68.0,65.0,65.0,74.0,60.0,75.0,66.0,57.0,65.0,52.0,61.5,65.0,63.0,49.0,61.0,46.0,55.0,60.0,57.0,10.0,9.0,8.0,14.0,12.0,mid
Marin Jakolis,54.5,39.0,56.5,54.75,49.5,53.25,57.0,38.0,43.0,35.0,62.0,59.75,66.0,68.75,48.25,67.0,55.0,58.25,44.25,41.25,54.5,33.0,12.0,49.0,42.0,52.5,14.0,19.0,13.0,12.0,8.0,11.0,6.0,9.0,for
Ofir Marciano,64.0,12.0,12.0,13.0,27.0,12.0,19.0,17.0,17.0,16.0,17.0,40.0,44.0,33.0,67.0,40.0,16.0,50.0,33.0,80.0,13.0,19.0,16.0,19.0,25.0,25.0,13.0,11.0,11.0,65.0,63.0,57.0,59.0,67.0,gk
Mickael Tirpan,60.0,58.0,49.0,49.0,59.0,46.0,59.0,54.0,46.0,53.0,58.0,72.0,69.0,74.0,56.0,72.0,57.0,57.0,64.0,57.0,56.0,69.0,55.0,56.0,53.0,44.0,59.0,61.0,60.0,7.0,9.0,10.0,7.0,7.0,def
Yaya Boumediene,65.0,65.0,62.0,52.0,61.0,61.0,71.0,41.0,43.0,56.0,64.0,78.0,76.0,74.0,56.0,66.0,55.0,65.0,62.0,60.0,56.0,41.0,38.0,61.0,60.0,56.0,23.0,31.0,46.0,9.0,12.0,10.0,12.0,12.0,for
