name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Mamadou Bagayoko,65.0,63.0,21.0,52.0,56.0,26.0,27.0,33.0,51.0,70.0,71.0,67.0,76.0,31.0,66.0,72.0,53.0,25.0,71.0,63.0,56.0,36.0,45.0,68.0,66.0,70.0,mid
May Mahlangu,70.75,49.5,55.5,56.5,71.5,63.5,62.5,58.5,71.75,86.0,90.0,84.0,81.0,78.5,85.0,93.0,64.0,60.5,77.5,65.5,72.5,67.5,40.5,46.5,65.5,62.5,mid
Yaya Soumahoro,67.25,62.5,60.75,55.75,61.5,62.75,68.75,56.75,52.5,88.0,84.0,90.0,79.0,63.75,92.75,37.0,56.0,61.75,28.75,33.0,63.75,63.0,57.75,20.5,26.75,24.75,mid
Yuji Ono,68.0,56.5,54.5,58.5,66.5,61.5,59.5,57.5,61.5,81.5,77.5,85.0,85.0,60.5,60.5,62.0,40.0,65.5,58.5,31.0,64.5,69.5,60.5,21.5,20.5,22.5,mid
Yvan Erichot,66.0,47.0,28.0,64.0,48.0,24.0,28.0,34.0,38.0,71.0,77.0,57.0,50.0,53.0,85.0,74.0,82.0,27.0,74.0,63.0,27.0,35.0,53.0,66.0,65.0,63.0,mid
Rob Schoofs,65.0,61.0,56.0,53.0,67.0,57.0,65.0,68.0,65.0,69.0,67.0,70.0,71.0,61.0,65.0,70.0,68.0,63.0,64.0,63.0,63.0,69.0,53.0,38.0,45.0,41.0,mid
Fabien Tchenkoua,64.0,54.0,60.0,42.0,57.0,57.0,48.0,36.0,41.0,83.0,83.0,78.0,81.0,59.0,47.0,53.0,59.0,49.0,30.0,29.0,67.0,54.0,58.0,39.0,30.0,35.0,mid
Mathias Schils,62.0,49.0,51.0,58.0,63.0,52.0,42.0,46.0,61.0,62.0,65.0,65.0,65.0,63.0,63.0,75.0,55.0,57.0,63.0,62.0,59.0,57.0,65.0,64.0,62.0,61.0,mid
Pieter Gerkens,67.0,64.2,46.4,49.4,71.2,63.4,36.4,39.4,72.6,60.6,54.0,71.0,72.0,61.0,57.4,72.0,59.0,46.4,57.4,69.2,62.0,67.0,41.4,57.4,65.4,62.4,mid
Gaetan Hendrickx,63.0,53.0,52.0,56.0,63.0,47.0,44.0,45.0,61.0,71.0,67.0,76.0,78.0,57.0,68.0,89.0,52.0,58.0,66.0,56.0,64.0,66.0,43.0,36.0,52.0,45.0,mid
Alexis De Sart,55.0,39.0,32.0,52.0,60.0,33.0,41.0,33.0,52.0,60.0,61.0,65.0,61.0,39.0,57.0,61.0,64.0,35.0,58.0,52.0,25.0,46.0,41.0,52.0,57.0,55.0,mid
Alfonso Artabe,60.0,36.0,26.0,62.0,66.0,31.0,35.0,44.0,61.0,56.0,55.0,52.0,56.0,53.0,59.0,66.0,68.0,28.0,56.0,63.0,34.0,46.0,47.0,62.0,61.0,57.0,mid
