variable,col1
volleys,0.490281128787
balance,0.465064757491
sprint_speed,0.427881060907
crossing,0.416006302052
free_kick_accuracy,0.414229659143
stamina,0.38322010615
positioning,0.382138232945
curve,0.373491089148
shot_power,0.366932671506
sliding_tackle,0.360287939604
acceleration,0.359535593123
aggression,0.339479772092
interceptions,0.328683850508
agility,0.326601568649
standing_tackle,0.300822228285
vision,0.297855297242
strength,0.297526082431
marking,0.280337595475
finishing,0.270045717845
jumping,0.25840038186
heading_accuracy,0.244787474412
short_passing,0.231242450992
reactions,0.223979860463
long_shots,0.207034227413
long_passing,0.200127623329
dribbling,0.197346718271
penalties,0.170491030853
ball_control,0.124185207201
gk_positioning,0.0813012704573
gk_kicking,0.0726572385378
gk_diving,0.0496271982302
gk_handling,0.0304344246638
gk_reflexes,0.0279642399335
