variable,col1
aggression,0.794837064325
heading_accuracy,0.526015843002
free_kick_accuracy,0.513280780243
sprint_speed,0.47110829792
shot_power,0.455416109828
jumping,0.412949350609
strength,0.392611701327
interceptions,0.371118327942
balance,0.344900904497
acceleration,0.341604092005
crossing,0.340616493592
vision,0.339828972379
agility,0.337407592125
curve,0.319485190586
standing_tackle,0.313376660844
marking,0.308928505901
long_passing,0.303083798798
stamina,0.287264359873
volleys,0.266971548693
long_shots,0.229776978493
sliding_tackle,0.187038083956
penalties,0.169232000081
gk_handling,0.164771776422
ball_control,0.15298851885
dribbling,0.140742430308
positioning,0.135979836231
short_passing,0.0937118428704
finishing,0.0936042209062
reactions,0.0775028589431
gk_diving,0.0411935633431
gk_kicking,0.0324454618701
gk_reflexes,0.0281353235049
gk_positioning,0.0120715097294
