country,league,team,count,player_ids,ratings
England,England Premier League,Arsenal,24,"46469,23688,30859,50065,242094,35606,339992,36378,196386,31013,425255,26154,113836,427438,143793,37436,46539,78513,177503,75489,159594,604785,38521,50047",77.8975694444
England,England Premier League,Bournemouth,22,"184321,155913,192780,68237,37779,185236,24216,22045,24625,35515,232253,160447,35523,23629,46349,38617,46810,156013,24381,160496,155129,30974",70.5397727273
England,England Premier League,Chelsea,22,"94086,22543,30613,107417,467354,30627,19243,324910,39987,46518,604982,31306,170323,79574,32345,72541,128864,23783,150250,303059,281207,115067",80.1928620622
England,England Premier League,Everton,27,"0.0,212866,742405,24846,316688,251925.0,181276,24006.0,26151.0,30895.0,516273,32705,193859,186054,101192,160713,30922.0,215384,24156,306913,23268,263653,23782,31465,213878,77690,419196",75.4332380952
England,England Premier League,Leicester City,18,"214570,49571,436036,173317,278343,37770,286119,13423,26554,23571,43061,20694,139671,319300,25818,103419,67850,38899",72.7867724868
England,England Premier League,Manchester United,26,"34944,109060,182917,161035,696365,693138,30872,186137,575780,46893,23354,165823,39618,164676,362694,465614,299215,303824,639058,449241,46820,30829,161012,413557,41468,35327",76.2246334776
England,England Premier League,Newcastle United,26,"277761,108038,350472,46700,161420,163604,166422,127130,39968,104482,24228,24229,23979,479020,570431,279489,308932,30929,109652,94550,103899,254308,38373,240236,160243,351860",73.4042735043
England,England Premier League,Norwich City,25,"24583,46354,38369,26209,40602,178206,302241,40100,35493,265918,201664,32705,25667,24903,24393,71502,31953,32734,127712,72417,163815,32616,23538,37779,231801",72.8659722222
England,England Premier League,Stoke City,23,"200962,96643,72735,24224,172321,188971,176300,36786,47418,26434,110148,39109,173382,37194,186831,23253,33881,30830,288880,34036,119541,40695,199291",74.8788819876
England,England Premier League,West Bromwich Albion,22,"163200,23257,26527,172841,113968,156727,682552,32441,33468,33086,239807,25666,169162,175947,24147,24148,39225,51545,24171,23021,43248,25075",74.7191609977
England,England Premier League,Aston Villa,25,"150401,24579,38148,161414,56972,30352,358289,69650,107415,154280,706985,93484,257847,312765,33086,261313,23991,183500,182223,179410,23264,24208,32870,680815,473853",72.5248571429
England,England Premier League,Liverpool,25,"37868,157838,242709,38807,289817,214426,148315,47558,280653,307021,184536,426202,94043,114268,95327,51553,611682,156008,22764,314605,30831,239856,37234,568571,608125",74.6877619048
England,England Premier League,Sunderland,26,"109058,166019,103428,118929,30348,93457,109330,165526,30362,158879,520230,432040,32627,22964,25150,101969,24150,24159,39139,42598,38759,180330,37233,35443,184822,26108",74.1047161172
England,England Premier League,West Ham United,24,"0.0,192899,155782,49543,37780,47382,25496,169756,214685.0,35110,575789,24751.0,37169,109897.0,18506,148302,163919,158545.0,195927,210276,106228,183670,23933,23678",74.5570048309
England,England Premier League,Crystal Palace,24,"146830,22929,130670,26777,8985,149917,154271,119079,23837,26160,36283,25537,160194,35523,363340,46417,24157,183519,28901,35345,198510,30960,23030,169721",74.1811011905
England,England Premier League,Manchester City,22,"40196,143365,156551,28955,37412,36615,30509,246575,31291,26181,33991,31432,37459,16351,101103,169200,174321,39027,78324,30459,643709,26111",80.9255050505
England,England Premier League,Southampton,21,"538112,41280,279490,209384,95336,303339,278285,23293,23792,35496,160627,166676,212470,72665,26552,30841,46010,94267,209405,187266,149855",74.1109599395
England,England Premier League,Swansea City,23,"150026,127130,157729,155050,38831,46008,109121,313668,109638,193223,165704,23882,111800,52563,102356,89185,259810,144996,26344,95955,24948,73462,30973",74.4987922705
England,England Premier League,Tottenham Hotspur,19,"160448,37762,361315,363333,276121,26295,174850,191869,41008,46353,212867,500520,194165,160599,159833,157723,264221,212702,110189",76.3620327557
England,England Premier League,Watford,20,"35712,37411,40548,114769,46120,71724,41927,417068,165773,131409,22991,213809,24915,72436,41365,30966,30455,25816,101419,37631",73.4088095238
