name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Mathieu Flamini,76.4,69.2,57.2,69.2,75.2,70.2,69.2,64.2,55.2,70.2,74.2,71.6,70.6,68.6,76.2,80.0,77.2,69.2,81.0,73.0,68.2,85.6,79.6,70.6,67.2,60.2,79.0,78.2,76.2,6.2,11.2,5.2,5.2,6.2,mid
Mathieu Debuchy,79.5,79.5,59.0,75.0,77.0,62.0,72.0,74.0,61.0,73.0,74.5,77.0,73.0,77.0,74.0,74.0,74.0,81.0,89.0,71.0,68.0,80.0,75.5,65.5,64.0,66.0,80.0,82.0,81.0,8.0,9.0,7.0,15.0,10.0,def
Petr Cech,85.0,19.0,12.0,19.0,35.0,17.0,12.0,13.0,19.0,33.0,22.0,45.0,52.0,49.0,86.0,34.0,21.0,51.0,32.0,65.0,11.0,17.0,23.0,13.0,17.0,23.0,11.0,13.0,12.0,83.0,84.0,73.0,83.0,84.0,gk
Theo Walcott,80.5,78.0,82.0,53.0,77.0,71.0,81.0,72.0,73.0,65.0,80.0,96.0,96.0,83.0,80.0,80.0,76.0,59.0,75.0,59.0,67.0,61.0,31.0,79.0,74.0,70.0,27.0,33.0,36.0,11.0,8.0,9.0,9.0,8.0,for
Per Mertesacker,82.67,38.0,36.0,87.33,71.0,30.0,39.0,39.0,45.0,58.0,65.0,29.0,33.0,29.0,84.0,28.0,71.0,33.0,64.0,88.0,25.0,69.0,87.33,43.0,58.0,42.0,87.67,87.67,85.33,12.0,13.0,5.0,12.0,8.0,def
Mesut Oezil,86.33,81.0,74.0,54.0,87.33,77.0,86.33,84.0,79.0,80.0,90.33,77.0,70.0,84.0,87.0,74.0,70.0,52.67,64.0,55.33,75.0,54.0,24.0,81.67,92.0,76.0,22.0,22.0,23.0,6.0,14.0,10.0,6.0,14.0,mid
Santi Cazorla,84.6,83.8,77.0,54.0,86.0,67.0,87.0,86.0,78.0,84.0,86.0,79.0,68.0,86.0,85.0,91.0,78.0,71.0,66.4,60.0,82.0,56.8,45.2,82.0,85.0,80.0,38.8,45.8,37.2,6.0,9.0,5.0,7.0,15.0,mid
Nacho Monreal,77.33,79.67,38.33,61.33,76.33,55.33,72.67,73.33,58.33,60.33,76.33,79.0,76.33,75.0,77.0,67.0,70.33,75.0,84.5,65.0,60.33,70.0,79.5,57.0,65.33,60.33,77.17,80.17,78.5,6.33,4.33,8.33,2.33,4.33,def
Olivier Giroud,79.75,63.0,80.25,84.5,76.0,80.25,68.25,70.0,65.0,56.0,77.25,61.0,63.25,58.0,81.5,45.0,84.0,76.5,79.0,87.75,75.25,76.0,41.0,84.0,75.5,81.0,26.0,37.0,20.0,12.0,15.0,11.0,6.0,5.0,for
Laurent Koscielny,83.0,54.0,32.0,81.0,75.0,35.0,62.0,22.0,49.0,67.0,67.0,79.0,78.0,70.0,78.0,62.0,54.0,86.0,73.0,71.0,47.0,87.0,84.0,31.0,56.0,51.0,83.0,87.0,85.0,13.0,11.0,9.0,11.0,7.0,def
Alexis Sanchez,85.12,75.88,84.75,60.0,79.5,78.0,88.0,77.5,76.25,73.0,86.75,89.62,85.0,91.0,83.5,86.75,81.5,75.0,86.0,64.0,80.0,76.5,42.0,83.5,78.0,74.5,30.0,39.0,35.0,10.0,10.0,15.0,12.0,13.0,mid
David Ospina,77.67,15.67,15.0,18.33,35.67,16.33,16.33,15.0,17.0,31.67,31.67,34.0,34.0,44.0,69.67,50.0,34.67,75.0,29.0,38.0,16.33,21.67,24.67,19.0,35.0,25.67,15.0,17.0,16.33,82.67,70.67,77.67,76.67,83.67,gk
