variable,col1
balance,0.761353920219
volleys,0.674869511462
heading_accuracy,0.590854618181
stamina,0.523591221707
finishing,0.515147049286
shot_power,0.505529004596
jumping,0.495250680706
aggression,0.489718241991
interceptions,0.478943297249
curve,0.465916677424
free_kick_accuracy,0.447162508753
standing_tackle,0.443130328426
vision,0.429540339794
sprint_speed,0.413080420324
ball_control,0.402884022483
crossing,0.398508262011
marking,0.360534384909
sliding_tackle,0.344341434732
strength,0.296123669819
reactions,0.284569336469
penalties,0.27372953154
dribbling,0.26053083181
long_shots,0.247247231955
gk_kicking,0.243079078281
acceleration,0.242316188007
long_passing,0.222521252368
gk_reflexes,0.215459087373
short_passing,0.215125373035
positioning,0.196582872568
agility,0.185237122007
gk_handling,0.142418222524
gk_positioning,0.12816238568
gk_diving,0.106541892309
