variable,col1
gk_positioning,0.308253965606
reactions,0.230311773263
gk_kicking,0.223963961396
balance,0.205392694709
strength,0.205392694709
gk_handling,0.190311729329
gk_reflexes,0.174949144033
gk_diving,0.17029481335
long_passing,0.0639631776699
agility,0.0402950297247
penalties,0.0385183050273
ball_control,0.0282028143471
short_passing,0.0236468054173
free_kick_accuracy,0.0162468830776
jumping,0.0162468830776
standing_tackle,0.0140118476228
aggression,0.00776886427804
stamina,0.00722083692336
shot_power,0.00688412487115
positioning,0.00473506158247
volleys,0.0045947785607
dribbling,0.00406172076939
acceleration,0.00320926085483
crossing,0.00309036242019
heading_accuracy,0.0029578998115
finishing,0.00202839278917
marking,0.00108502452558
sprint_speed,0.000802315213707
sliding_tackle,0.000694817357546
interceptions,0.000552852522822
curve,0.000200578803427
vision,8.74270910823e-05
long_shots,2.31592661964e-05
