variable,col1
gk_kicking,0.327281271198
gk_diving,0.194736406176
gk_reflexes,0.189358711234
gk_positioning,0.166572090346
gk_handling,0.165932175177
reactions,0.163616575282
shot_power,0.113706313104
volleys,0.100461175308
penalties,0.0921271436434
agility,0.0708529805413
stamina,0.0708529805413
aggression,0.0676117745694
long_passing,0.0540942897408
standing_tackle,0.0414176105487
curve,0.0390415551097
acceleration,0.0253719681839
ball_control,0.0233466150712
positioning,0.0151327529108
crossing,0.0138783544843
marking,0.0115077382654
long_shots,0.00783363369315
short_passing,0.00762961877789
sprint_speed,0.00634299204598
strength,0.00634299204598
interceptions,0.00527690722039
vision,0.00503251184418
sliding_tackle,0.00503251184418
balance,0.00282480670108
jumping,0.00282480670108
free_kick_accuracy,0.00262684027498
finishing,0.000609566227708
heading_accuracy,0.000609566227708
dribbling,0.000112764960045
