name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Mile Jedinak,75.67,58.67,58.67,78.67,71.67,66.67,54.67,58.67,76.67,67.67,70.67,51.0,59.0,56.0,73.67,66.0,80.67,51.0,78.0,87.0,73.67,85.67,83.67,51.67,67.67,79.67,74.67,80.67,67.67,12.67,6.67,14.67,14.67,14.67,mid
Joe Ledley,74.0,68.0,64.0,73.0,77.0,53.0,71.0,72.0,53.0,72.0,73.0,70.0,69.0,64.0,77.0,72.0,70.0,79.0,87.0,78.0,67.0,70.0,68.0,69.0,78.0,71.0,72.0,71.0,65.0,13.0,13.0,8.0,10.0,13.0,mid
Damien Delaney,74.0,53.67,31.67,77.67,53.67,27.67,24.67,31.67,48.67,61.67,56.67,46.0,50.0,30.0,70.0,41.0,48.67,58.0,77.0,86.0,58.67,82.67,70.33,32.67,44.67,65.67,78.0,75.0,77.0,5.67,13.67,6.67,13.67,10.67,def
Scott Dann,77.33,29.67,33.67,80.67,68.67,28.67,37.67,29.67,28.67,64.67,65.67,49.0,54.33,50.0,77.67,56.0,51.67,68.0,74.0,82.0,31.67,72.67,78.67,35.67,54.67,29.67,81.0,80.0,77.0,5.67,9.67,14.67,6.67,8.67,def
Fraizer Campbell,71.0,67.0,73.0,68.0,64.0,67.0,71.0,43.0,58.0,41.0,69.0,85.0,79.0,78.0,68.0,79.0,70.0,72.0,71.0,63.0,62.0,66.0,22.0,74.0,61.0,68.0,32.0,35.0,28.0,11.0,15.0,9.0,9.0,16.0,for
Marouane Chamakh,74.5,61.5,73.5,83.0,76.5,77.5,71.5,75.5,66.5,68.5,77.5,66.5,67.5,66.5,74.5,61.0,79.5,68.0,78.0,78.0,73.5,67.5,44.5,77.5,75.5,81.5,43.5,52.5,37.5,10.5,11.5,14.5,13.5,8.5,for
Yohan Cabaye,79.5,76.83,70.67,69.67,83.67,72.67,74.67,79.67,80.67,81.67,82.67,66.33,68.33,74.33,77.67,77.0,81.67,70.0,80.0,68.0,79.67,77.33,77.17,70.67,82.67,82.67,69.5,73.0,69.17,13.67,8.67,15.67,7.67,11.67,mid
Brede Hangeland,73.0,34.0,34.0,81.0,66.0,38.0,35.0,37.0,40.0,59.0,54.0,33.0,30.0,22.0,75.0,28.0,63.0,29.0,69.0,87.0,39.0,79.0,74.0,19.0,27.0,44.0,71.0,78.0,75.0,8.0,14.0,10.0,9.0,14.0,def
James McArthur,74.0,65.33,55.33,59.33,77.33,50.33,71.33,53.33,68.33,75.33,78.33,67.67,66.0,75.0,72.33,78.0,64.33,53.67,78.33,73.0,60.33,79.67,73.67,70.33,70.0,68.33,72.33,73.33,70.33,9.67,7.67,10.33,4.33,8.33,mid
Emmanuel Adebayor,79.33,58.0,79.67,82.67,78.0,83.0,80.0,69.0,44.0,55.0,76.67,68.0,75.0,65.0,75.67,52.0,82.0,76.0,70.0,84.0,71.0,70.0,31.0,78.0,75.0,80.67,23.0,25.0,19.0,13.0,9.0,12.0,9.0,13.0,for
Jason Puncheon,74.12,80.25,73.62,40.62,72.0,70.62,79.12,68.88,74.75,68.62,74.62,78.75,76.75,76.38,68.88,79.0,76.62,73.0,71.75,68.0,74.25,61.62,31.62,72.12,73.62,71.75,25.62,45.62,37.62,12.62,12.62,13.62,15.62,11.62,mid
Glenn Murray,70.57,47.14,76.29,77.86,63.57,64.14,62.14,56.14,32.14,53.43,68.0,59.71,63.29,59.0,66.86,72.57,72.43,70.57,65.14,75.29,67.14,69.43,44.14,74.86,66.29,74.14,23.14,28.14,22.14,14.14,15.14,13.14,6.14,9.14,for
Wayne Hennessey,73.5,11.0,19.0,14.0,12.0,15.0,11.0,12.0,14.0,13.0,19.0,50.0,41.0,50.0,64.0,51.0,34.0,41.0,29.0,68.0,14.0,21.0,22.0,14.0,65.0,17.0,15.0,18.0,13.0,73.0,74.0,82.0,76.0,73.0,gk
Bakary Sako,74.25,73.5,69.38,60.25,73.88,72.62,77.0,75.25,83.25,71.25,74.0,87.25,84.5,74.0,67.38,68.0,85.75,60.0,70.0,81.88,79.25,65.75,39.25,71.25,72.25,69.25,36.25,41.25,34.25,12.25,15.25,12.25,6.25,8.25,mid
Alex McCarthy,75.0,11.0,17.0,16.0,33.0,12.0,17.0,15.0,18.0,35.0,17.0,58.0,56.0,35.0,69.0,43.0,20.0,68.0,35.0,63.0,14.0,35.0,22.0,16.0,50.0,41.0,13.0,13.0,12.0,79.0,73.0,61.0,74.0,81.0,gk
Chung-Yong Lee,72.17,69.5,61.5,70.5,72.5,65.5,74.5,70.5,64.5,65.5,72.5,77.17,77.0,76.5,73.5,78.0,64.5,70.0,80.0,57.0,61.5,63.5,55.5,69.5,73.5,62.5,41.5,51.5,42.5,5.5,6.5,6.5,7.5,6.5,mid
Joel Ward,75.0,72.17,44.33,74.5,76.5,32.5,63.5,40.33,33.5,71.5,69.5,72.17,73.0,66.0,72.5,65.0,69.5,66.0,77.0,78.0,62.5,73.5,76.5,63.5,67.5,32.5,78.0,78.5,76.0,7.5,6.5,6.5,9.5,10.5,def
Jordon Mutch,70.67,70.67,66.67,66.67,71.67,43.67,73.67,76.67,74.67,68.67,72.67,73.67,77.67,66.67,72.67,68.0,77.67,70.0,78.0,71.0,74.67,73.67,64.67,69.67,67.67,71.67,63.67,68.67,62.67,10.67,12.67,12.67,10.67,7.67,mid
