variable,col1
free_kick_accuracy,0.701177403916
interceptions,0.434233740011
volleys,0.382964452016
aggression,0.372711550638
heading_accuracy,0.364798826425
sliding_tackle,0.361976098577
balance,0.338396443322
standing_tackle,0.331558031121
shot_power,0.322482465036
curve,0.314454682754
acceleration,0.303841633235
long_passing,0.303686408477
vision,0.301475063868
strength,0.30031973948
sprint_speed,0.299327543472
agility,0.29873183382
marking,0.275058889023
jumping,0.235588708454
dribbling,0.232623266269
crossing,0.217962443218
stamina,0.174862627456
ball_control,0.164022170015
finishing,0.156459247243
short_passing,0.150187931951
positioning,0.108765848615
penalties,0.103598111156
long_shots,0.0963132798565
gk_kicking,0.0878486633512
gk_handling,0.0744369765114
gk_reflexes,0.0687514197402
gk_diving,0.0577116007121
reactions,0.0431438742029
gk_positioning,0.0205290260579
