variable,col1
volleys,0.629588989987
heading_accuracy,0.598095521362
strength,0.575141534852
jumping,0.479414150186
stamina,0.46967115354
free_kick_accuracy,0.467204053246
curve,0.397850598167
vision,0.383899040338
marking,0.360330774832
interceptions,0.330036003296
acceleration,0.271869735017
sliding_tackle,0.259042111716
shot_power,0.211617406432
standing_tackle,0.210291238936
long_shots,0.205662811192
agility,0.194139362771
aggression,0.172977605614
gk_positioning,0.168641885638
long_passing,0.167900997972
sprint_speed,0.164516471939
positioning,0.147862754209
balance,0.146724708239
short_passing,0.141893455885
penalties,0.130851830355
dribbling,0.124898797324
finishing,0.116026308186
crossing,0.115754220419
ball_control,0.0851554545169
gk_handling,0.0694164533628
gk_reflexes,0.0614125607349
gk_diving,0.0489847046623
reactions,0.0466891178648
gk_kicking,0.0464381872101
