name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Phil Jagielka,80.5,55.0,30.0,79.0,71.0,44.0,49.0,55.0,31.0,66.0,62.0,66.0,68.5,51.0,74.0,64.0,69.0,88.5,78.0,83.0,54.0,79.0,83.5,51.0,39.0,63.5,81.0,84.0,82.0,32.0,33.0,38.0,32.0,34.0,def
Gareth Barry,79.5,80.0,61.25,74.0,83.5,65.0,65.5,79.0,78.0,81.0,74.75,32.75,51.0,52.0,79.5,63.0,77.0,69.25,79.0,77.0,71.0,80.0,82.75,59.5,74.0,72.0,79.0,80.0,80.0,7.0,13.0,9.0,7.0,12.0,mid
Leon Osman,75.75,71.25,70.25,70.25,82.25,79.25,81.25,74.25,69.25,72.25,80.25,54.0,68.0,79.0,78.5,85.0,74.5,73.0,69.0,60.0,75.5,68.25,68.25,72.0,79.25,68.25,59.25,64.25,51.25,15.25,13.25,8.25,6.25,7.25,mid
Darron Gibson,76.0,78.67,56.67,64.67,81.67,65.67,71.67,60.67,70.67,80.67,75.67,52.0,64.67,55.0,73.67,61.0,81.67,72.0,76.0,74.0,79.67,71.67,70.67,66.67,76.67,62.67,75.67,76.67,75.67,14.67,6.67,11.67,14.67,5.67,mid
Leighton Baines,82.0,89.5,70.0,74.0,82.5,63.0,77.0,80.5,82.0,74.0,76.5,75.5,76.0,74.5,80.0,85.0,84.0,72.0,85.5,68.5,75.0,74.0,80.0,74.5,75.5,89.0,81.5,83.0,82.5,8.0,15.0,10.0,13.0,12.0,def
Kevin Mirallas,80.0,82.0,78.0,64.0,80.0,76.0,84.0,77.0,74.0,77.0,82.0,89.0,87.0,86.0,76.0,74.0,77.0,73.0,76.0,61.0,76.0,48.0,35.0,80.0,67.0,75.0,40.0,55.0,53.0,8.0,10.0,14.0,13.0,15.0,for
Aaron Lennon,77.67,78.0,65.33,27.33,76.67,67.33,83.33,62.33,54.33,53.33,80.33,91.17,89.0,93.0,76.0,92.0,61.33,71.0,75.0,53.33,56.33,56.33,36.33,72.33,74.33,61.33,28.67,31.67,32.83,13.33,6.33,6.33,15.33,10.33,for
Arouna Kone,76.33,61.0,75.33,73.0,65.67,71.0,78.0,57.0,56.0,49.0,75.33,75.33,81.67,75.0,75.0,61.0,84.0,78.0,73.0,84.0,70.0,47.0,28.0,77.0,66.0,67.0,22.0,43.0,26.0,10.0,6.0,7.0,12.0,7.0,mid
Tim Howard,80.0,22.75,22.0,21.75,32.25,21.75,22.0,22.25,22.25,29.25,23.5,50.0,48.0,48.0,82.25,50.0,25.25,75.0,26.0,71.0,22.5,31.25,21.25,22.0,31.75,42.25,21.5,21.75,22.25,82.0,76.0,76.25,80.75,81.5,gk
Steven Naismith,76.0,58.4,77.4,75.4,72.4,65.4,77.4,66.4,37.4,62.4,78.4,76.0,77.6,78.0,76.4,68.0,73.4,83.0,85.0,76.0,63.4,78.4,52.4,83.4,76.4,78.4,40.4,48.4,48.4,11.4,10.4,7.4,8.4,15.4,mid
Seamus Coleman,80.4,81.0,65.6,67.0,77.0,64.0,77.4,42.6,35.6,69.4,77.6,79.0,81.8,76.4,81.0,74.0,75.0,72.0,90.0,73.0,66.8,78.0,76.4,76.0,70.0,55.2,81.2,82.8,81.6,5.0,15.0,10.0,13.0,7.0,mid
James McCarthy,80.0,68.0,65.0,63.0,82.0,61.0,78.0,64.0,64.0,83.0,77.0,75.0,71.25,66.0,75.0,71.0,67.0,66.0,91.0,78.0,73.0,79.0,79.0,71.5,75.0,53.25,81.0,79.75,79.0,12.0,11.0,8.0,10.0,13.0,mid
Tom Cleverley,76.0,73.5,62.0,47.5,82.5,67.5,78.5,58.5,61.5,79.5,79.5,74.67,75.0,73.0,76.5,77.0,73.5,62.0,72.83,53.5,74.5,70.5,64.5,73.5,76.5,71.5,45.67,58.17,48.5,14.5,10.5,8.5,11.5,12.5,mid
Romelu Lukaku,79.92,68.08,81.83,78.0,67.0,69.58,76.58,60.0,59.5,58.08,78.5,79.5,85.58,64.0,73.0,48.0,84.33,70.25,74.25,90.0,72.67,72.0,27.0,77.67,69.0,77.67,25.33,26.42,24.5,8.0,15.0,14.0,7.0,10.0,for
Joel Robles,73.0,20.67,20.33,20.67,21.67,21.0,21.67,20.33,23.33,25.33,24.33,49.0,52.0,47.0,66.33,41.0,35.33,64.0,40.0,72.0,20.33,22.33,21.33,22.0,26.0,21.67,21.67,20.33,21.33,74.67,73.0,74.33,72.67,73.67,gk
Bryan Oviedo,70.0,71.5,60.5,47.5,67.5,57.5,74.5,58.5,62.5,63.5,72.5,79.0,74.0,79.0,71.5,79.0,65.5,81.5,79.0,58.0,58.5,71.5,68.5,65.5,65.5,51.5,71.0,70.5,68.0,10.5,11.5,7.5,9.5,15.5,def
Muhamed Besic,73.29,44.29,50.29,66.29,73.71,40.29,69.71,51.29,56.29,68.29,76.43,71.86,78.14,78.0,71.29,74.43,54.29,81.29,69.0,75.71,47.29,82.29,74.86,45.29,60.86,47.29,74.14,76.29,79.71,13.29,6.29,12.29,6.29,11.29,mid
Ramiro Funes Mori,75.0,73.0,27.0,77.0,62.0,25.0,63.0,49.0,58.0,55.0,64.0,69.0,75.0,66.0,71.0,61.0,69.0,78.0,75.0,79.0,59.0,81.0,71.0,49.0,47.0,52.0,75.0,78.0,76.0,9.0,9.0,13.0,10.0,7.0,def
Ross Barkley,79.25,63.75,69.75,64.75,83.75,60.75,84.75,54.75,55.75,77.25,83.5,79.75,78.0,70.0,76.75,57.5,77.75,63.0,74.0,76.5,77.25,72.75,44.75,70.75,80.75,63.0,55.75,59.75,51.75,8.75,13.75,11.75,5.75,9.75,for
Gerard Deulofeu,78.0,76.0,73.0,39.67,68.67,54.67,88.67,83.67,74.67,55.67,85.67,89.33,92.0,93.0,76.67,77.0,63.67,72.0,76.0,57.67,64.67,39.67,21.67,77.67,64.0,69.67,21.0,27.67,21.67,11.67,15.67,13.67,10.67,10.67,for
John Stones,75.83,61.5,28.83,73.5,77.17,26.83,65.5,25.5,28.5,64.67,74.67,72.5,73.0,66.0,75.17,62.0,45.83,70.5,76.0,75.5,40.83,69.5,74.17,47.5,58.5,36.5,77.0,78.5,79.0,6.5,14.5,10.5,9.5,7.5,def
Baye Oumar Niasse,74.8,55.4,77.6,74.4,63.4,73.4,67.0,62.4,38.4,34.4,73.4,91.0,76.0,68.8,71.4,60.8,79.4,65.8,78.0,81.0,64.8,55.4,34.4,71.2,62.4,66.4,23.0,22.4,23.4,15.4,5.4,11.4,9.4,7.4,for
Brendon Galloway,63.83,51.83,29.67,60.0,66.0,31.67,46.33,35.67,33.67,54.17,64.83,74.83,75.0,72.83,61.67,61.0,50.67,63.33,67.33,62.33,39.67,58.33,58.67,29.83,47.67,43.67,61.17,65.17,67.33,5.67,13.67,8.67,7.67,7.67,def
Tyias Browning,65.33,51.67,24.67,62.33,60.33,32.67,45.67,27.67,19.67,43.67,63.33,69.67,77.33,56.0,63.33,55.33,47.67,66.0,64.0,67.67,34.67,59.0,63.33,40.67,25.67,42.67,64.67,71.0,65.0,9.67,12.67,6.67,8.67,11.67,def
Matthew Pennington,57.43,30.14,29.14,59.71,54.14,35.14,45.14,34.14,33.14,38.14,45.71,63.86,54.86,49.0,52.14,57.0,43.14,74.0,64.0,75.0,25.14,58.0,49.57,30.14,30.14,47.14,62.14,60.29,56.29,11.14,11.14,6.14,11.14,10.14,def
