variable,col1
aggression,0.448559292938
heading_accuracy,0.448233987915
volleys,0.401350095116
penalties,0.368983772365
free_kick_accuracy,0.314952324912
long_passing,0.304821006125
standing_tackle,0.300498837155
curve,0.29546394904
sliding_tackle,0.272955725842
balance,0.27273271457
reactions,0.258902419713
crossing,0.254575243333
marking,0.214346496627
strength,0.207276929591
agility,0.205740197677
shot_power,0.158259227874
interceptions,0.14299143053
long_shots,0.136437672354
short_passing,0.120053905584
vision,0.109131509299
dribbling,0.100676827097
sprint_speed,0.0988210304589
finishing,0.0891797116441
gk_handling,0.0850524400354
acceleration,0.0764451030475
ball_control,0.0653717634489
jumping,0.0639295182181
positioning,0.0448103158377
gk_positioning,0.0390397351285
stamina,0.0386048022829
gk_kicking,0.024018711346
gk_diving,0.0222432154705
gk_reflexes,0.015540087425
