variable,col1
free_kick_accuracy,0.539441769691
shot_power,0.51274962602
volleys,0.495786381804
crossing,0.469458131818
acceleration,0.406991763628
curve,0.375949610757
penalties,0.375485346066
balance,0.297031829797
jumping,0.273701790262
dribbling,0.261077710697
heading_accuracy,0.245148191654
sprint_speed,0.227917531353
finishing,0.227485554034
vision,0.2170395054
standing_tackle,0.211709331589
ball_control,0.200503849632
long_passing,0.193255614828
agility,0.184709491852
strength,0.181157692588
long_shots,0.17041118117
reactions,0.169377752467
positioning,0.148067596115
short_passing,0.118458141498
stamina,0.106533242059
gk_positioning,0.100829064659
aggression,0.0838208094387
interceptions,0.0369935551722
gk_handling,0.0330282712506
sliding_tackle,0.0328715067455
marking,0.0314236146298
gk_diving,0.0308465417995
gk_kicking,0.0222092208031
gk_reflexes,0.0185287787226
