name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Aleksandar Kolarov,78.67,88.33,54.67,74.67,72.33,60.67,77.67,84.33,80.67,76.67,77.67,70.67,66.33,64.0,78.67,58.0,90.67,78.0,77.0,77.33,79.67,83.67,79.67,68.0,75.0,73.67,77.67,83.0,80.67,15.67,14.67,7.67,15.67,5.67,def
Bacary Sagna,79.4,73.4,44.8,78.4,72.8,55.4,74.2,65.4,46.4,66.4,74.4,73.2,74.2,69.4,79.4,76.0,68.4,84.8,81.0,76.8,61.4,74.4,78.4,65.4,65.6,58.4,81.4,82.0,82.8,10.4,8.4,6.4,8.4,8.4,def
Samir Nasri,83.5,81.0,76.0,48.5,86.0,73.0,86.0,78.0,79.0,79.5,88.0,81.25,79.0,82.0,81.5,92.0,75.0,52.0,72.0,63.0,77.0,33.0,37.0,81.0,85.0,79.0,35.0,37.0,44.0,3.0,5.0,7.0,8.0,4.5,mid
Wilfredo Caballero,78.0,16.33,15.67,21.67,32.67,17.0,16.33,22.67,15.67,47.67,29.67,49.0,54.0,52.33,74.67,55.0,22.67,70.0,44.0,76.0,17.67,45.67,21.67,18.33,33.67,19.0,18.33,15.67,16.33,79.67,71.67,68.67,81.33,83.0,gk
Martin Demichelis,79.4,52.2,42.2,84.2,66.4,35.2,51.8,26.2,30.2,64.6,58.2,37.0,34.8,32.0,75.2,55.0,47.2,70.2,49.0,86.0,34.2,86.2,82.8,28.2,51.2,45.2,80.6,79.6,73.6,6.2,10.2,11.2,6.2,5.2,def
Pablo Zabaleta,82.5,75.0,45.0,75.0,75.5,53.0,73.5,68.0,66.0,67.5,77.0,73.0,73.5,71.0,85.5,69.0,66.0,84.0,85.0,79.0,57.0,89.0,84.5,71.0,67.0,64.0,84.5,86.0,84.5,10.0,14.0,15.0,7.0,5.0,def
Gael Clichy,79.0,78.4,33.4,69.4,68.8,58.4,71.8,63.4,37.4,68.4,77.4,82.8,85.0,80.0,73.2,75.0,51.4,71.4,82.0,66.0,42.4,54.4,78.8,65.4,58.4,44.4,80.6,80.8,84.2,9.4,10.4,8.4,10.4,5.4,def
Joe Hart,83.8,18.4,18.4,16.0,32.0,21.4,23.8,20.2,17.8,35.0,20.0,59.0,60.0,35.0,81.0,32.0,49.0,72.0,28.0,61.0,21.4,28.0,25.0,18.4,35.2,58.4,18.4,18.4,17.8,85.0,79.0,76.6,82.4,86.8,gk
Jesus Navas,81.0,80.8,66.0,51.8,77.2,79.0,82.4,80.0,46.0,74.0,82.0,91.6,89.2,91.0,78.2,87.0,75.8,63.6,79.0,34.0,74.0,57.2,33.0,74.0,76.0,56.0,27.0,20.0,26.0,10.0,10.0,15.0,7.0,13.0,mid
Yaya Toure,85.4,67.0,82.0,74.0,86.0,68.0,81.0,80.0,85.0,83.0,83.0,71.6,78.8,64.0,85.0,57.4,86.0,71.6,90.2,92.0,84.0,79.6,74.4,81.0,85.0,83.2,63.0,78.0,75.0,13.0,14.0,6.0,12.0,8.0,mid
Sergio Aguero,87.0,70.0,90.0,68.0,82.6,85.0,89.0,82.0,72.0,63.0,89.0,92.0,84.8,86.0,86.4,90.0,85.0,76.0,70.0,70.4,80.4,57.0,24.0,89.2,83.0,83.6,20.2,20.0,19.8,13.0,15.0,6.0,11.0,14.0,for
David Silva,87.33,81.0,72.67,56.67,89.33,80.0,87.0,83.0,77.0,85.0,91.0,81.33,70.0,93.0,84.0,88.0,71.0,66.0,68.0,54.0,79.67,51.0,41.0,82.33,91.0,77.0,23.0,30.0,29.0,1.0,1.0,1.0,1.0,1.0,mid
Vincent Kompany,85.75,61.0,45.0,84.0,76.25,46.0,64.0,61.0,52.0,72.75,72.5,68.0,73.25,63.0,84.0,42.0,76.0,73.0,70.0,88.0,58.0,80.25,84.5,41.0,59.0,63.0,85.0,89.5,85.5,10.0,9.0,5.0,8.0,6.0,def
Fernandinho,80.0,68.0,70.0,55.0,82.0,76.0,79.0,70.0,71.0,81.0,78.0,77.0,77.0,79.0,82.0,79.0,83.0,72.0,82.0,73.0,81.0,83.0,84.0,68.0,75.0,61.0,70.0,78.0,75.0,12.0,11.0,5.0,13.0,7.0,mid
Fabian Delph,75.8,61.9,62.3,48.7,79.3,58.3,83.3,71.3,47.3,75.3,77.2,79.4,78.1,89.0,71.3,86.0,79.3,72.0,89.0,59.8,72.3,85.5,75.2,66.0,69.3,64.3,58.7,72.3,70.3,9.3,8.3,13.3,10.3,5.3,mid
