variable,col1
positioning,0.419008430749
crossing,0.241774987773
strength,0.170785451671
jumping,0.151122080299
reactions,0.132045828112
heading_accuracy,0.130880972886
agility,0.130539299475
acceleration,0.128605609315
short_passing,0.113283391983
standing_tackle,0.105978536756
shot_power,0.105481142978
finishing,0.0987483592197
volleys,0.0949557754767
vision,0.0906761169073
balance,0.0880178712233
aggression,0.0875777755741
interceptions,0.0826898753214
penalties,0.075137977709
ball_control,0.0655303704399
dribbling,0.0642302035551
curve,0.0635546393172
long_passing,0.0614423998079
sprint_speed,0.0571487075107
free_kick_accuracy,0.0540768692264
long_shots,0.0470660667528
stamina,0.0436512585089
sliding_tackle,0.0397022703253
marking,0.0317523979103
gk_handling,0.0112796981947
gk_diving,0.0047365526418
gk_positioning,0.00409751403531
gk_reflexes,0.00380310653606
gk_kicking,0.000618461809118
