name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Ashley Young,79.33,84.0,71.67,41.0,75.0,75.0,83.0,83.0,78.0,71.0,81.0,87.33,82.0,84.0,76.0,77.0,77.0,57.0,69.0,53.0,76.0,46.0,47.0,70.0,79.0,71.0,25.0,30.0,51.0,16.0,10.0,15.0,16.0,15.0,mid
Wayne Rooney,85.8,78.0,86.0,80.0,80.0,88.6,79.6,84.0,84.0,85.0,84.6,73.2,75.4,77.0,86.4,77.0,87.6,80.6,88.2,84.6,85.0,89.0,48.0,86.2,83.0,81.0,29.0,54.0,37.0,10.0,11.0,13.0,8.0,7.0,for
Bastian Schweinsteiger,87.33,80.33,76.0,79.0,87.67,82.67,80.33,82.0,78.0,87.0,85.0,55.67,60.33,73.67,90.33,70.33,85.33,82.33,82.67,77.67,82.67,80.0,86.0,81.33,86.0,81.67,68.67,79.33,76.67,14.0,14.0,13.0,13.0,11.0,mid
Michael Carrick,79.67,72.0,63.0,73.0,86.0,67.0,71.0,64.0,73.33,85.0,78.33,53.0,54.33,58.0,80.0,63.0,78.0,72.0,74.0,64.0,73.0,67.0,85.0,61.0,78.0,68.33,71.0,74.0,72.0,13.0,12.0,11.0,15.0,9.0,mid
Antonio Valencia,79.75,83.25,62.25,65.25,78.25,69.25,81.25,68.25,65.25,72.25,78.25,82.75,85.25,79.0,78.25,74.0,81.25,63.0,82.0,73.0,63.25,73.25,58.75,73.25,76.75,69.25,53.5,58.25,61.0,15.25,10.25,9.25,6.25,6.25,def
Marouane Fellaini,77.5,68.5,71.5,88.0,78.5,70.5,73.5,60.5,45.5,72.5,75.5,55.0,67.0,57.0,79.5,52.0,73.5,71.0,86.0,91.5,71.5,87.5,73.5,77.0,78.5,63.5,71.5,76.5,67.5,7.5,5.5,8.5,14.5,15.5,for
Juan Mata,84.25,83.0,77.0,66.0,86.0,71.0,85.0,82.0,81.0,78.0,88.0,80.25,63.75,90.0,87.0,89.0,74.0,72.0,79.0,42.5,72.0,52.0,39.0,84.0,88.0,73.5,17.5,22.0,18.25,9.0,10.0,14.0,5.0,8.0,mid
Matteo Darmian,75.38,77.25,37.25,72.75,74.0,59.0,69.0,65.75,35.0,68.75,75.25,79.0,81.75,77.0,78.0,73.5,70.0,69.25,88.5,69.25,54.5,81.75,79.0,64.0,60.75,45.0,78.75,79.25,81.38,6.0,7.0,7.0,12.0,7.0,def
Morgan Schneiderlin,81.14,66.43,64.0,62.14,82.43,52.57,73.0,66.29,61.0,82.86,77.86,70.71,61.86,68.29,80.14,66.0,71.0,73.71,90.0,76.86,56.0,85.0,84.29,67.0,74.71,56.0,75.29,84.0,80.86,6.0,11.0,12.0,14.0,7.0,mid
Sergio Romero,75.33,20.33,21.33,20.67,37.33,22.33,20.67,20.67,21.0,35.33,24.33,44.0,42.0,52.0,78.33,44.0,21.33,63.0,35.0,75.0,20.33,32.33,20.33,20.33,30.67,22.0,21.33,20.33,21.67,75.33,66.33,80.33,72.33,81.33,gk
Daley Blind,79.67,62.67,41.67,66.67,82.67,60.67,72.67,64.67,54.67,75.67,79.0,66.0,60.67,73.0,83.67,67.33,67.67,66.0,92.0,73.0,63.67,71.0,79.67,67.67,74.67,55.67,70.0,80.33,76.67,11.67,8.67,9.67,13.67,9.67,def
Marcos Rojo,81.0,75.0,52.0,82.0,66.0,49.0,65.0,53.0,57.0,74.0,66.0,70.0,74.0,73.0,74.0,62.0,79.0,86.0,78.0,83.0,63.0,86.0,79.0,55.0,56.0,64.0,80.0,84.0,81.0,7.0,8.0,12.0,15.0,10.0,def
Ander Herrera,80.6,62.8,68.6,38.0,88.0,60.0,83.0,72.0,70.0,81.0,87.0,78.0,72.6,84.0,81.0,78.0,68.0,63.0,68.0,59.0,72.8,77.0,66.0,80.0,85.0,65.8,47.0,60.0,48.0,9.0,12.0,15.0,9.0,8.0,mid
Chris Smalling,78.91,51.64,22.64,81.82,68.0,23.64,61.27,25.64,21.64,55.64,63.82,75.0,76.73,54.18,79.36,45.0,41.64,70.55,75.73,78.45,16.09,75.64,80.18,21.64,48.64,51.64,82.0,84.45,80.09,9.64,14.64,15.64,14.64,14.64,def
David De Gea,85.5,23.0,22.0,21.0,31.0,22.0,22.0,21.0,23.5,32.0,31.0,51.0,55.0,57.0,79.0,43.0,31.0,67.0,25.0,64.0,21.75,38.0,30.0,21.75,23.0,40.0,22.0,21.0,22.0,87.5,81.0,86.0,81.5,88.75,gk
Phil Jones,79.0,63.25,49.25,74.25,77.25,59.25,58.25,37.25,34.25,66.25,68.25,63.0,68.0,43.0,78.25,58.0,67.25,84.0,79.0,78.0,58.25,84.25,77.75,41.25,58.25,54.25,81.75,82.75,79.75,9.25,7.25,5.25,15.25,10.25,def
Jesse Lingard,68.17,52.5,69.5,50.5,71.5,43.5,68.5,51.5,53.5,64.5,70.5,80.0,75.0,72.0,62.5,82.0,52.5,74.0,55.0,34.0,53.5,48.5,29.5,67.5,71.5,62.5,28.5,31.5,24.5,13.5,9.5,7.5,12.5,8.5,mid
Memphis Depay,78.9,65.1,70.3,60.0,73.4,74.0,86.0,81.1,84.9,68.0,82.1,91.9,90.0,82.0,81.5,86.0,87.0,79.1,82.0,74.3,76.6,63.6,21.0,79.4,75.0,64.6,24.0,31.0,20.0,8.0,14.0,6.0,12.0,10.0,mid
Luke Shaw,78.0,76.0,32.0,67.0,75.0,31.0,79.0,63.0,58.0,64.0,76.0,79.0,84.0,79.0,76.0,70.0,50.0,63.0,81.0,77.0,42.0,64.0,75.0,69.0,65.0,53.0,79.0,81.0,80.0,10.0,12.0,13.0,7.0,7.0,def
Anthony Martial,74.22,40.22,74.67,67.33,66.44,69.78,78.0,45.56,53.56,51.89,77.67,83.44,86.89,78.78,74.44,70.0,73.22,76.78,63.11,71.0,61.56,35.78,20.56,76.56,55.44,69.89,20.56,21.11,20.56,8.56,7.56,7.56,14.56,10.56,for
