variable,col1
jumping,0.433756210472
gk_positioning,0.426557306478
crossing,0.304243872529
acceleration,0.151976364671
agility,0.108735660274
penalties,0.107502194912
reactions,0.0883190631479
long_passing,0.0807037159277
strength,0.071012348467
short_passing,0.0601768394944
gk_kicking,0.0358553917174
shot_power,0.0345844991665
gk_reflexes,0.0330829825827
finishing,0.0126288808266
stamina,0.01232853272
gk_handling,0.0109234207536
gk_diving,0.0106260610828
positioning,0.0050586804748
sprint_speed,0.00323125637235
dribbling,0.00304723602963
free_kick_accuracy,0.00213087106612
vision,0.000952524178662
long_shots,0.000693568419411
marking,0.000461515631787
standing_tackle,0.000461515631787
heading_accuracy,0.00033672263688
ball_control,0.00033672263688
curve,0.00018806495609
volleys,2.88447269867e-05
sliding_tackle,2.88447269867e-05
aggression,1.51436445502e-05
interceptions,1.51436445502e-05
balance,0.0
