variable,col1
volleys,0.69617008707
jumping,0.637743203732
free_kick_accuracy,0.616846680783
heading_accuracy,0.615272542405
curve,0.556636833055
interceptions,0.503215918897
sliding_tackle,0.502327703227
acceleration,0.488463360074
aggression,0.480041163474
sprint_speed,0.452188699991
marking,0.401799246863
vision,0.364553757763
positioning,0.33687677028
shot_power,0.329707090031
standing_tackle,0.318939905865
balance,0.315208273684
strength,0.295330146212
gk_kicking,0.286962555346
crossing,0.27722620447
long_shots,0.27672174808
penalties,0.271580266634
stamina,0.251916565253
reactions,0.221306394003
gk_positioning,0.217803023237
long_passing,0.208588597108
short_passing,0.201939774336
gk_reflexes,0.1651467105
gk_handling,0.159371311742
dribbling,0.139202963513
gk_diving,0.130363785649
agility,0.103970149646
finishing,0.0991767371889
ball_control,0.0774018298874
