name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Shane Long,75.67,68.67,77.67,74.33,61.33,69.33,71.33,53.33,36.33,48.33,74.33,84.67,83.67,74.0,76.33,75.0,75.33,92.33,83.33,79.0,66.33,78.33,41.33,76.33,61.0,77.33,35.33,26.33,23.33,10.33,12.33,9.33,10.33,9.33,for
Steven Davis,76.0,75.0,58.0,53.0,80.0,64.0,76.0,73.0,69.0,77.0,77.0,73.0,70.0,79.0,80.0,76.0,63.0,82.0,86.0,67.0,63.0,74.0,67.0,68.0,75.0,62.0,66.0,71.0,67.0,9.0,7.0,13.0,9.0,11.0,mid
Jose Fonte,78.29,35.29,39.29,76.29,62.29,33.29,58.29,32.29,31.29,53.29,64.0,55.0,61.29,62.0,81.29,56.0,28.29,73.0,69.0,81.71,28.29,82.29,80.71,39.29,54.29,42.29,80.0,80.86,79.86,6.29,10.29,15.29,9.29,5.29,def
Maarten Stekelenburg,77.0,21.5,18.0,19.5,38.5,18.0,18.5,19.0,19.0,36.5,30.5,35.0,45.0,35.0,72.5,27.0,19.0,55.0,30.0,77.0,18.0,40.5,25.5,19.0,22.0,22.5,21.5,20.0,19.5,80.5,74.5,81.5,75.5,78.5,gk
Kelvin Davis,71.0,11.0,12.0,20.0,13.0,15.0,14.0,12.0,11.0,21.0,27.0,51.0,46.0,51.0,70.0,60.0,28.0,77.0,40.0,68.0,16.0,44.0,25.0,15.0,19.0,41.0,12.0,14.0,12.0,74.0,68.0,55.0,70.0,75.0,gk
Graziano Pelle,77.0,43.25,78.75,90.25,64.25,78.25,63.25,55.25,39.25,63.25,75.25,54.0,56.75,64.0,82.25,34.0,80.25,73.0,76.0,91.0,68.25,64.0,24.25,83.5,68.25,67.0,23.5,32.25,32.25,14.25,11.25,13.25,12.25,8.25,for
Ryan Bertrand,75.75,78.25,34.25,68.25,75.25,42.25,72.0,66.25,51.25,69.25,74.25,79.5,78.5,72.75,74.5,71.0,58.25,71.0,77.0,70.25,53.25,70.75,75.12,61.5,50.62,51.25,73.75,78.75,77.75,10.25,12.25,14.25,9.25,14.25,mid
Maya Yoshida,71.83,22.33,33.33,74.33,61.0,55.33,56.33,37.33,32.33,51.33,62.33,67.0,67.17,73.0,71.33,62.0,49.33,85.0,75.0,75.0,40.33,65.33,70.67,41.33,49.33,53.33,72.67,76.33,73.33,11.33,15.33,7.33,5.33,12.33,def
Dusan Tadic,79.83,80.17,67.67,62.33,81.67,72.33,82.33,82.33,75.33,76.17,83.33,76.33,72.33,81.0,81.33,77.0,71.67,65.0,76.33,67.0,65.33,55.33,30.33,74.33,86.0,82.33,39.33,33.33,25.33,10.33,10.33,13.33,8.33,15.33,mid
Fraser Forster,75.25,23.5,22.0,22.0,26.25,23.5,23.75,21.25,23.5,23.5,32.25,32.0,35.0,32.0,66.25,42.0,35.25,59.0,29.0,75.0,21.75,42.25,21.25,22.0,22.25,21.25,22.0,22.0,21.75,73.25,76.25,73.0,75.0,81.25,gk
Cuco Martina,68.2,50.2,44.2,64.2,61.2,43.2,61.2,55.2,44.2,55.2,60.2,73.6,75.6,70.0,70.2,60.0,60.2,85.0,77.0,72.0,63.2,70.2,70.6,52.2,58.2,50.2,70.8,74.6,70.8,12.2,13.2,13.2,13.2,11.2,def
Cedric Soares,77.0,78.5,56.5,64.5,74.5,67.5,75.5,65.5,67.5,68.5,75.5,81.0,80.0,76.0,75.5,83.0,83.5,73.0,87.0,64.0,77.5,76.5,75.5,70.5,63.5,59.5,75.0,77.5,78.0,10.5,13.5,11.5,11.5,10.5,mid
Victor Wanyama,76.25,62.25,61.25,75.0,72.75,61.25,71.25,61.25,56.25,69.0,71.25,63.5,71.25,72.0,78.25,66.0,82.75,81.0,84.0,91.25,68.5,89.25,77.0,63.25,65.5,64.25,73.25,82.25,77.5,5.25,13.25,9.25,12.25,15.25,mid
Charlie Austin,76.57,53.14,81.29,80.0,58.29,69.14,65.29,58.29,42.29,45.29,73.29,73.43,74.57,65.0,77.86,64.86,79.29,80.57,74.57,79.14,70.29,65.43,46.29,81.71,60.29,76.0,28.14,31.57,23.0,8.29,10.29,6.29,8.29,12.29,for
Jordy Clasie,77.2,65.2,49.2,37.4,81.2,72.2,70.2,77.6,69.2,78.2,80.2,68.0,67.4,75.0,78.2,90.0,76.2,58.0,83.0,68.2,70.2,84.6,79.6,65.8,83.2,63.2,62.4,70.8,60.2,10.2,10.2,13.2,9.2,6.2,mid
Virgil van Dijk,75.29,52.14,52.14,73.14,68.43,42.14,68.14,59.14,70.57,74.86,69.14,67.71,72.71,55.29,68.14,53.14,78.43,74.71,73.29,92.0,63.14,73.14,77.14,40.14,55.29,63.14,74.43,76.43,70.57,12.14,9.14,12.14,10.14,10.14,def
Oriol Romeu,72.2,36.2,24.2,64.2,77.2,21.2,54.2,48.2,52.2,68.2,70.2,66.0,55.0,60.0,65.2,59.0,59.2,67.0,75.0,84.0,42.2,72.0,73.2,49.2,67.2,53.2,71.2,76.2,64.2,11.2,13.2,9.2,10.2,15.2,mid
Paulo Gazzaniga,64.5,18.0,18.5,19.5,32.5,19.5,21.5,18.0,22.5,37.5,21.5,56.0,62.0,58.0,58.5,45.0,39.5,75.0,43.0,67.0,19.5,31.5,23.5,19.0,22.0,40.5,21.5,22.5,18.0,68.5,58.5,83.5,56.5,71.5,gk
James Ward-Prowse,74.14,85.14,51.57,56.29,80.29,50.29,72.71,85.29,77.57,78.57,78.0,72.14,70.43,74.0,72.0,79.0,71.14,68.0,74.57,64.0,68.57,66.29,66.0,65.29,81.14,56.43,54.29,65.0,61.29,11.29,11.29,9.29,14.29,14.29,mid
Sadio Mane,75.11,67.22,74.33,52.22,72.22,65.22,81.11,73.22,63.22,66.22,75.33,90.44,90.33,88.0,71.11,83.89,71.44,58.0,65.0,63.11,65.22,60.22,28.22,74.78,68.22,64.0,32.22,32.22,37.22,9.22,9.22,14.22,6.22,13.22,mid
Matt Targett,62.25,63.75,35.25,55.25,58.25,36.25,60.25,60.25,61.25,54.25,60.25,74.0,74.5,70.75,54.75,70.25,33.25,59.5,62.75,61.5,37.25,60.25,60.75,48.25,39.25,50.25,59.5,66.75,65.0,9.25,14.25,7.25,10.25,13.25,mid
