variable,col1
balance,0.295617696201
interceptions,0.252436188785
jumping,0.251190806773
crossing,0.206530574773
sprint_speed,0.187040901262
stamina,0.179593744603
positioning,0.162024334846
aggression,0.156710825224
acceleration,0.155729014796
long_passing,0.154439812127
heading_accuracy,0.140985589336
agility,0.103826041307
finishing,0.0889120214648
penalties,0.0815401340482
strength,0.054026403318
long_shots,0.0447177627241
shot_power,0.0443958728602
ball_control,0.0434213399797
volleys,0.0426865214864
free_kick_accuracy,0.0412430970856
marking,0.0407059780469
gk_kicking,0.0340781446711
curve,0.0329932371702
sliding_tackle,0.0305748566595
short_passing,0.0296556366132
vision,0.0276153508522
dribbling,0.0273037842078
gk_reflexes,0.0236966184477
standing_tackle,0.0228135416556
gk_diving,0.0202569087406
gk_positioning,0.0120447171067
reactions,0.00651365436994
gk_handling,0.00467888845756
