variable,col1
sprint_speed,0.472199302378
jumping,0.441822682256
long_passing,0.422457365488
balance,0.403262667829
aggression,0.396759744232
free_kick_accuracy,0.386913450265
curve,0.381159356897
stamina,0.336985710593
strength,0.329191502324
heading_accuracy,0.325644946656
acceleration,0.312988733699
volleys,0.248773320016
interceptions,0.243876534481
standing_tackle,0.243137328066
crossing,0.234078089268
sliding_tackle,0.223156762323
vision,0.20953070711
marking,0.207317426995
penalties,0.160538465506
agility,0.145495938162
finishing,0.129724867219
short_passing,0.118430341385
shot_power,0.113851371997
dribbling,0.0765078934774
long_shots,0.074126372238
gk_reflexes,0.0732130840157
gk_diving,0.065928251332
positioning,0.0634930672374
ball_control,0.0568654871504
reactions,0.0404734694858
gk_handling,0.0268668840639
gk_positioning,0.0240052977594
gk_kicking,0.0112235780934
