variable,col1
balance,0.423945840632
free_kick_accuracy,0.418201668605
volleys,0.406848567447
marking,0.396245489069
long_passing,0.381393615475
heading_accuracy,0.34436671462
curve,0.337248223329
interceptions,0.320138170619
penalties,0.289056027912
long_shots,0.284919565898
jumping,0.281723543826
vision,0.268595873217
ball_control,0.260187713804
crossing,0.259117328339
strength,0.258656478762
aggression,0.257263507049
positioning,0.154310259554
dribbling,0.150057482164
short_passing,0.1492353881
reactions,0.146434652526
shot_power,0.139678090399
sprint_speed,0.126460198435
standing_tackle,0.125775654538
finishing,0.12514784597
stamina,0.116046498962
sliding_tackle,0.106088501798
agility,0.103407567008
gk_reflexes,0.0991004660659
acceleration,0.0851480474355
gk_diving,0.0598992207385
gk_handling,0.0534724949086
gk_kicking,0.0426014715066
gk_positioning,0.0292278312884
