variable,col1
free_kick_accuracy,0.575147909545
strength,0.531268370849
shot_power,0.515633646928
sprint_speed,0.51388125789
crossing,0.462308689137
balance,0.441821583446
long_shots,0.42525183166
volleys,0.376148206852
jumping,0.363508373464
curve,0.355628586967
dribbling,0.30478119823
positioning,0.290617354136
interceptions,0.289092840496
long_passing,0.28735957318
penalties,0.257434535105
finishing,0.229368368775
agility,0.187427266993
vision,0.179493234275
acceleration,0.178108355884
sliding_tackle,0.138494294332
heading_accuracy,0.123726233139
aggression,0.11766110039
reactions,0.117375379885
stamina,0.105303884541
ball_control,0.103919930787
marking,0.0927764920752
gk_kicking,0.0827810371827
gk_reflexes,0.0755727102341
standing_tackle,0.0716467756557
gk_positioning,0.0691472146949
short_passing,0.0643152242697
gk_handling,0.0421034688883
gk_diving,0.0308950701115
