variable,col1
vision,0.399318751941
gk_handling,0.185352578738
gk_kicking,0.170493311897
reactions,0.167568515157
gk_diving,0.166778250899
gk_positioning,0.166778250899
gk_reflexes,0.159549893446
short_passing,0.151558760387
aggression,0.126628817568
jumping,0.0762131934182
strength,0.0283028266365
stamina,0.0226046456183
shot_power,0.0175598589179
interceptions,0.0164600790755
long_passing,0.0141749750852
heading_accuracy,0.0131684665353
agility,0.0131684665353
marking,0.0131684665353
free_kick_accuracy,0.0107685392519
sliding_tackle,0.00956504686151
acceleration,0.0086636004931
sprint_speed,0.0086636004931
penalties,0.0086636004931
standing_tackle,0.0086636004931
crossing,0.00640949593954
finishing,0.00565116140458
dribbling,0.00503111922511
curve,0.00503111922511
long_shots,0.00503111922511
positioning,0.00405518201428
volleys,0.00256276886205
balance,0.00141279035115
ball_control,0.000979146378256
