variable,col1
penalties,0.447018284686
volleys,0.436828256637
long_shots,0.424240689456
curve,0.417303642043
free_kick_accuracy,0.410992994478
heading_accuracy,0.344111634462
shot_power,0.336087600604
finishing,0.33523985504
long_passing,0.316885576497
sprint_speed,0.290272005162
balance,0.260903325799
positioning,0.248178957443
short_passing,0.244660026544
aggression,0.242672992559
agility,0.212878592836
jumping,0.208674276342
acceleration,0.201038857874
vision,0.189701858418
sliding_tackle,0.188233572358
crossing,0.142251159388
stamina,0.125003920908
strength,0.121057847901
gk_kicking,0.11902162751
gk_handling,0.118942803745
gk_diving,0.113692172949
interceptions,0.104958074888
gk_reflexes,0.100053853325
dribbling,0.0819367629868
standing_tackle,0.0561505182257
ball_control,0.052356814555
gk_positioning,0.0488429869796
reactions,0.0370607604258
marking,0.0227476969762
