variable,col1
aggression,0.146152386585
strength,0.128895289888
short_passing,0.126556298651
acceleration,0.126556298651
penalties,0.104751422939
shot_power,0.0998916641153
long_shots,0.0993522357548
reactions,0.0973102571818
positioning,0.0973102571818
volleys,0.0874360662793
balance,0.0867402717479
dribbling,0.0858879104707
free_kick_accuracy,0.0854256816762
marking,0.0797212286853
standing_tackle,0.0779625093772
sliding_tackle,0.0779625093772
heading_accuracy,0.0774226294763
curve,0.0717427914399
finishing,0.0700961390885
crossing,0.0364810060299
jumping,0.032223822472
long_passing,0.0195135324948
interceptions,0.0190398245809
gk_reflexes,0.0187013692058
vision,0.0180217909458
agility,0.00805595561799
stamina,0.00805595561799
gk_positioning,0.0043381049511
ball_control,0.00424110033331
gk_kicking,0.00349334612886
gk_diving,0.000529843170389
sprint_speed,0.000103422786279
gk_handling,2.70770986371e-05
