variable,col1
aggression,0.55071116533
heading_accuracy,0.540098476409
standing_tackle,0.531661959383
free_kick_accuracy,0.486159774903
marking,0.455360546841
crossing,0.428552393937
agility,0.402115118012
vision,0.370806614268
curve,0.36844209168
stamina,0.350790170299
positioning,0.345754156613
penalties,0.326924174916
long_passing,0.320878413572
interceptions,0.318747324377
sliding_tackle,0.286687714322
ball_control,0.268725779058
finishing,0.259757347647
long_shots,0.248452850389
strength,0.242803233203
gk_kicking,0.214276254684
balance,0.187989756825
jumping,0.183823179604
volleys,0.180667552452
acceleration,0.173487058265
shot_power,0.156576381345
short_passing,0.136641770048
sprint_speed,0.126571268295
reactions,0.125590750961
gk_handling,0.108599584044
gk_diving,0.0890098349316
gk_reflexes,0.0874890295697
dribbling,0.0777331208571
gk_positioning,0.0481151529601
