variable,col1
sliding_tackle,0.486277744453
positioning,0.406395296212
vision,0.399782550733
penalties,0.395004245849
marking,0.385685915525
sprint_speed,0.351124743415
acceleration,0.349186765232
volleys,0.340668599253
aggression,0.327551272841
strength,0.299503953709
free_kick_accuracy,0.271506052158
finishing,0.248738945282
gk_diving,0.246764155196
curve,0.239021519694
short_passing,0.223168484757
crossing,0.191844886794
standing_tackle,0.179206869014
ball_control,0.175796642519
shot_power,0.172663113737
stamina,0.148936058373
long_passing,0.139353875283
interceptions,0.135166603784
dribbling,0.127369277714
balance,0.126068624874
reactions,0.119822076799
jumping,0.116491023021
gk_kicking,0.0761849093393
long_shots,0.0741898486223
agility,0.0724865755847
gk_positioning,0.0577391939363
gk_reflexes,0.0510290345987
gk_handling,0.0403816986466
heading_accuracy,0.0248894430523
