variable,col1
free_kick_accuracy,0.48546389058
crossing,0.44599513572
positioning,0.414164311469
long_shots,0.392029954114
acceleration,0.357259181704
stamina,0.330764549647
balance,0.329677307234
agility,0.301137827047
sprint_speed,0.264426450642
vision,0.246005900972
finishing,0.243129968041
jumping,0.205831745835
heading_accuracy,0.204569352037
shot_power,0.170290342516
curve,0.16815176204
penalties,0.160574021385
strength,0.146805425061
dribbling,0.136957852631
sliding_tackle,0.131304551887
reactions,0.115626335509
standing_tackle,0.107621939142
ball_control,0.101516644955
interceptions,0.0945790748531
short_passing,0.0823949522795
marking,0.0733687055229
long_passing,0.0700771373565
volleys,0.055648996679
gk_reflexes,0.0392246184836
aggression,0.0388612740292
gk_kicking,0.0332190039382
gk_handling,0.0227830637384
gk_diving,0.0164182747238
gk_positioning,0.0141204482294
