variable,col1
gk_diving,0.346941816687
gk_reflexes,0.344151598997
reactions,0.2991195903
gk_positioning,0.275655208214
jumping,0.266123894092
sprint_speed,0.235960517369
agility,0.159043401414
acceleration,0.150051949879
strength,0.141962268829
aggression,0.0792615950622
shot_power,0.0792568783745
short_passing,0.0760276911488
crossing,0.0673047428176
penalties,0.0641808409912
finishing,0.0545212631568
balance,0.0540506319847
interceptions,0.0467175128573
marking,0.0287507424174
sliding_tackle,0.0262129300557
positioning,0.0224168470726
vision,0.0218561758145
standing_tackle,0.0206042093918
gk_kicking,0.0202525986548
gk_handling,0.0201298282158
curve,0.0186910868854
long_passing,0.0165418032728
heading_accuracy,0.0150535852192
dribbling,0.0107168452476
volleys,0.0097787301263
long_shots,0.00970473870747
free_kick_accuracy,0.00777018124987
ball_control,0.00613977135925
stamina,0.00504852413432
