variable,col1
positioning,0.635357770133
long_shots,0.531478752907
strength,0.445486307222
crossing,0.437334557619
acceleration,0.431218711303
short_passing,0.427884685624
shot_power,0.396152692106
stamina,0.372023549155
dribbling,0.363023238598
volleys,0.347286077875
aggression,0.31468575014
reactions,0.313202345644
jumping,0.30563925695
free_kick_accuracy,0.258608777576
interceptions,0.23740446499
agility,0.21768950746
sprint_speed,0.21601681548
curve,0.20293838345
penalties,0.200926152177
ball_control,0.166285798108
heading_accuracy,0.158010853498
finishing,0.134232657309
balance,0.127576196108
standing_tackle,0.126995783913
long_passing,0.122086086851
vision,0.106221423802
marking,0.080736634209
gk_kicking,0.0713311471772
sliding_tackle,0.0664653029995
gk_positioning,0.0581768751838
gk_handling,0.0522632058751
gk_diving,0.0398825242796
gk_reflexes,0.0353777142779
