variable,col1
crossing,0.548334997193
agility,0.367336722397
balance,0.242645301057
acceleration,0.180162970013
sprint_speed,0.0892203605327
jumping,0.0727948052417
long_passing,0.0692351835073
stamina,0.0606613252642
gk_positioning,0.0579653131743
long_shots,0.0533769245367
curve,0.027881266015
dribbling,0.0223050901332
sliding_tackle,0.0223050901332
heading_accuracy,0.0181987013104
free_kick_accuracy,0.0181987013104
aggression,0.0176965588694
positioning,0.0176965588694
gk_kicking,0.0176965588694
strength,0.015239371172
standing_tackle,0.015239371172
interceptions,0.0133442311342
finishing,0.00944762421729
vision,0.00884059082333
shot_power,0.00863375182672
marking,0.00863375182672
short_passing,0.0055762725333
penalties,0.0055762725333
gk_diving,0.00221014770583
volleys,0.0011374188319
ball_control,0.0011374188319
gk_handling,0.00095246069825
gk_reflexes,0.000284354707976
reactions,3.45335579036e-05
