variable,col1
jumping,0.445469483263
positioning,0.438571293918
strength,0.416307500135
volleys,0.406958664952
balance,0.392447065227
long_shots,0.367519329046
aggression,0.365738709442
sliding_tackle,0.35050048065
acceleration,0.347807558381
marking,0.346010165354
free_kick_accuracy,0.344574445312
heading_accuracy,0.322060322149
sprint_speed,0.287498646293
interceptions,0.271269500591
standing_tackle,0.253216417009
ball_control,0.252628363917
agility,0.243017792652
finishing,0.231305179325
vision,0.22694108481
penalties,0.200169277222
stamina,0.193777117145
curve,0.178454138189
short_passing,0.174746771333
crossing,0.168718039975
shot_power,0.163271356975
reactions,0.150934680039
dribbling,0.123205095637
gk_reflexes,0.0956379660032
long_passing,0.0904180322749
gk_diving,0.0566438475432
gk_positioning,0.0332310164455
gk_kicking,0.0319562019335
gk_handling,0.028994456857
