variable,col1
crossing,0.428677262799
sliding_tackle,0.412870366882
curve,0.388825848333
volleys,0.387717303158
acceleration,0.374777482623
jumping,0.364516142615
sprint_speed,0.358979618997
short_passing,0.353776379844
stamina,0.342756822075
balance,0.332934623183
long_passing,0.328268051055
agility,0.32281865044
interceptions,0.315773097744
positioning,0.301396977092
marking,0.295664336571
free_kick_accuracy,0.269895880534
aggression,0.265863917315
strength,0.261384854049
penalties,0.235660815519
ball_control,0.226276844208
shot_power,0.220167953083
long_shots,0.19938085502
standing_tackle,0.187880253792
reactions,0.120043881783
heading_accuracy,0.117653221711
dribbling,0.112021108236
vision,0.106448298836
gk_reflexes,0.0891724581831
finishing,0.0665742856184
gk_kicking,0.0563950959703
gk_diving,0.0554824139447
gk_positioning,0.0549346988844
gk_handling,0.0450101999027
