name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Jussie,74.0,67.0,76.0,68.0,76.0,70.0,71.0,68.0,71.0,72.0,71.0,79.0,63.0,77.0,62.0,58.0,74.0,65.0,62.0,47.0,75.0,72.0,76.0,28.0,22.0,14.0,mid
Jaroslav Plasil,74.33,69.33,60.33,64.33,83.33,62.33,73.33,73.33,79.33,53.67,53.67,65.0,68.0,67.33,61.0,56.0,56.33,70.33,62.33,58.33,69.33,81.33,68.33,54.33,60.33,52.33,mid
Abdou Traore,70.5,61.67,62.67,59.67,76.67,61.67,65.67,48.67,73.67,73.67,70.33,76.33,69.0,65.67,52.33,62.67,62.67,60.67,55.67,63.67,56.67,71.67,47.67,66.67,63.67,60.67,mid
Clement Chantome,75.0,73.25,62.5,74.25,80.0,58.5,70.0,71.5,75.25,66.0,66.5,72.5,71.0,73.0,72.0,74.5,73.0,65.5,79.75,73.0,73.5,79.0,56.5,70.25,73.0,71.5,mid
Henri Saivet,76.33,74.33,73.83,76.5,80.0,68.83,68.83,73.33,78.33,76.33,76.17,83.0,76.0,72.83,88.83,76.67,68.0,65.17,58.83,59.83,75.83,80.17,65.83,54.67,56.33,56.0,mid
Diego Contento,72.67,75.33,20.33,65.33,73.0,38.33,62.33,39.33,65.33,75.33,74.67,73.67,70.0,70.33,65.0,74.33,64.0,57.33,71.33,69.0,54.33,55.67,51.33,72.0,74.67,73.67,mid
Ludovic Lamine Sane,78.25,48.75,28.75,82.25,74.75,21.75,47.75,22.75,71.75,64.75,74.25,55.75,54.0,70.75,81.5,74.25,79.5,58.75,78.75,77.5,41.75,62.75,32.75,79.25,79.75,75.75,mid
Andre Biyogo Poko,70.75,53.5,57.5,59.0,70.5,41.0,40.5,49.5,65.5,72.75,74.5,72.5,78.0,66.0,64.0,81.0,68.5,48.5,87.5,70.5,68.0,67.5,52.5,75.0,69.0,63.5,mid
Cedric Yambere,65.2,29.4,24.6,68.6,54.6,30.2,27.4,27.4,31.4,52.0,56.2,44.0,46.0,36.2,71.0,60.4,80.0,20.4,70.4,62.0,31.8,37.0,33.4,66.2,68.4,61.4,mid
Milan Gajic,69.0,73.0,61.0,54.0,69.0,54.0,64.0,47.0,60.0,64.0,69.0,64.0,68.0,60.0,51.0,62.0,66.0,56.0,83.0,70.0,65.0,59.0,47.0,71.0,74.0,71.0,mid
Thomas Toure,71.5,69.0,62.75,66.25,68.75,69.25,71.25,38.25,60.25,83.5,83.5,79.5,73.0,66.25,70.0,65.5,64.0,68.75,60.25,42.25,69.25,67.75,65.25,40.25,41.25,34.25,mid
Valentin Vada,61.67,53.33,55.33,47.67,64.33,51.67,56.67,61.67,61.67,64.0,64.33,69.33,75.0,58.67,54.0,46.33,64.0,54.0,60.33,47.0,60.67,63.33,59.67,46.0,43.33,40.33,mid
