variable,col1
jumping,0.606278416651
free_kick_accuracy,0.594963926687
marking,0.505622812182
curve,0.437942191933
sliding_tackle,0.406039664203
positioning,0.386715564346
volleys,0.381256620812
dribbling,0.285920916422
finishing,0.268105012163
stamina,0.26725607743
sprint_speed,0.232725952736
balance,0.224032074252
acceleration,0.221483295243
crossing,0.210025675876
aggression,0.19419016287
interceptions,0.188716759255
agility,0.186376730658
penalties,0.163708905675
strength,0.155943814234
vision,0.138563873433
heading_accuracy,0.131961392542
shot_power,0.0970967909696
gk_reflexes,0.0965811314366
long_shots,0.096001958155
short_passing,0.0901236047158
standing_tackle,0.0834346754455
ball_control,0.0762720354964
reactions,0.0661458241171
gk_handling,0.0558925601774
long_passing,0.0461450961796
gk_diving,0.0415382687838
gk_positioning,0.0327095914107
gk_kicking,0.0302286235083
