variable,col1
long_passing,0.404982841604
interceptions,0.356880634294
heading_accuracy,0.345185848467
standing_tackle,0.329092647884
aggression,0.325787310149
sliding_tackle,0.281182651034
long_shots,0.266862229588
finishing,0.266327320624
balance,0.262738698187
marking,0.250957611072
penalties,0.232241623824
stamina,0.221604304956
strength,0.218991522111
acceleration,0.21566192472
crossing,0.206869333443
reactions,0.187932106857
free_kick_accuracy,0.186828081759
agility,0.158545128703
curve,0.147863315124
positioning,0.146737237247
dribbling,0.146671000188
gk_handling,0.119147129431
jumping,0.104466285591
shot_power,0.0983413316394
volleys,0.088553095055
ball_control,0.080355325823
sprint_speed,0.078092133754
short_passing,0.0690787330999
vision,0.0592000408198
gk_positioning,0.0551853600903
gk_kicking,0.035070944067
gk_reflexes,0.0348510319085
gk_diving,0.0177152168836
