variable,col1
volleys,0.647184928203
crossing,0.398403925135
balance,0.381761210703
stamina,0.358971173437
finishing,0.353647464749
jumping,0.275770706903
marking,0.257506022467
curve,0.25653862189
agility,0.252804985543
sprint_speed,0.241832551032
acceleration,0.237323551155
free_kick_accuracy,0.229770631236
ball_control,0.227976245562
dribbling,0.185558850656
penalties,0.163143608892
strength,0.160360357464
sliding_tackle,0.153775195112
heading_accuracy,0.142940848605
standing_tackle,0.141996991293
vision,0.139667021887
aggression,0.138378772992
positioning,0.126468152984
shot_power,0.0932221496348
long_shots,0.0846278118632
long_passing,0.0826073500135
reactions,0.0641829896055
interceptions,0.0547702260729
short_passing,0.0521225203098
gk_kicking,0.0396191914918
gk_positioning,0.0370225653845
gk_diving,0.0102798849379
gk_reflexes,0.00702002796309
gk_handling,0.00274346482308
