variable,col1
curve,0.623994032138
stamina,0.523543036133
strength,0.422492416499
jumping,0.414864115663
free_kick_accuracy,0.40211790161
marking,0.376471770893
short_passing,0.372909149974
sprint_speed,0.340818970174
long_shots,0.319940475659
sliding_tackle,0.31715695152
ball_control,0.301226341856
volleys,0.265625199261
dribbling,0.253214678105
balance,0.247025032861
crossing,0.24269757775
aggression,0.239237012724
heading_accuracy,0.229292912003
reactions,0.224978348138
standing_tackle,0.220081347056
vision,0.211087886624
interceptions,0.210408830893
acceleration,0.201807935134
penalties,0.199845316048
finishing,0.184322200749
shot_power,0.155881148834
long_passing,0.137384081649
positioning,0.111115979493
gk_handling,0.0791145878917
gk_positioning,0.043299165915
agility,0.0406016628934
gk_diving,0.0347905559843
gk_kicking,0.0271053959506
gk_reflexes,0.0255479819215
