variable,col1
volleys,0.614104415521
balance,0.534281787749
heading_accuracy,0.529689034276
shot_power,0.522160949595
dribbling,0.508663662017
stamina,0.498013484542
positioning,0.492649562738
jumping,0.467653875593
interceptions,0.450653004472
strength,0.439030937937
finishing,0.426997336749
long_passing,0.422422003893
free_kick_accuracy,0.392948011252
long_shots,0.390668161532
penalties,0.370249185446
crossing,0.365396012782
acceleration,0.360439674225
sprint_speed,0.344491601404
sliding_tackle,0.318022363778
marking,0.313622985553
curve,0.293049194689
aggression,0.285353517575
vision,0.267047067537
standing_tackle,0.265442810247
agility,0.243091177674
reactions,0.210345109357
ball_control,0.185194979048
gk_handling,0.112230411179
gk_diving,0.0987110101692
short_passing,0.0856626096389
gk_positioning,0.0855571856182
gk_reflexes,0.0542281001404
gk_kicking,0.0519287760751
