variable,col1
heading_accuracy,0.612543140319
free_kick_accuracy,0.581944274463
finishing,0.571530961804
interceptions,0.500180238625
long_shots,0.468362112999
curve,0.465283683835
reactions,0.458932041317
volleys,0.449856446143
strength,0.440346208798
marking,0.419110081498
aggression,0.417346164275
shot_power,0.405962299225
sliding_tackle,0.39153967312
stamina,0.390935645042
balance,0.383197930177
crossing,0.369448421492
penalties,0.36662200109
acceleration,0.34224004709
jumping,0.336039113479
standing_tackle,0.31935373657
agility,0.293335188013
vision,0.24534401346
short_passing,0.234830387871
dribbling,0.216850137696
sprint_speed,0.216528172227
long_passing,0.201128766445
gk_kicking,0.166884242944
positioning,0.163850742678
ball_control,0.129953063523
gk_diving,0.127856272106
gk_reflexes,0.117849665996
gk_positioning,0.102486908012
gk_handling,0.092328217669
