variable,col1
heading_accuracy,0.667896323483
jumping,0.647683207786
interceptions,0.607440267952
strength,0.601035926988
acceleration,0.567924073945
stamina,0.546435281073
free_kick_accuracy,0.527284568181
aggression,0.519617803427
penalties,0.485777266952
long_shots,0.482798390735
finishing,0.47769770147
long_passing,0.463007850446
curve,0.418395069439
reactions,0.40311280919
positioning,0.355963619496
sliding_tackle,0.352235705428
marking,0.35060186093
dribbling,0.338631001794
standing_tackle,0.329472337014
balance,0.29765183146
shot_power,0.27537222633
volleys,0.269589365179
short_passing,0.269251950573
agility,0.267585921827
sprint_speed,0.264584162629
crossing,0.245795850198
ball_control,0.225491146594
vision,0.218575743117
gk_positioning,0.134721417896
gk_handling,0.124788693727
gk_reflexes,0.113669601235
gk_diving,0.0882058164858
gk_kicking,0.061705207018
