variable,col1
free_kick_accuracy,0.375931549125
jumping,0.34488852459
vision,0.331896951213
curve,0.257912255167
aggression,0.251898219808
sprint_speed,0.229809902387
heading_accuracy,0.215903792623
long_shots,0.211506826124
interceptions,0.206489594736
crossing,0.198785871022
positioning,0.188024945806
dribbling,0.1874128758
penalties,0.186600046313
long_passing,0.181658171879
standing_tackle,0.174198986265
acceleration,0.156508745369
reactions,0.120642200122
finishing,0.118850931072
shot_power,0.118492426168
balance,0.114045283428
stamina,0.112172982609
strength,0.111212304835
ball_control,0.099956233039
marking,0.0890168236617
sliding_tackle,0.0890159909721
short_passing,0.0787139409328
volleys,0.0780024333893
gk_kicking,0.0560624031355
gk_positioning,0.0409895285527
gk_reflexes,0.0226088196898
gk_diving,0.0220039046677
agility,0.0176480454253
gk_handling,0.0111384900715
