variable,col1
heading_accuracy,0.507960395195
free_kick_accuracy,0.448680985093
sprint_speed,0.428034753517
long_shots,0.419745139153
positioning,0.402454788238
jumping,0.399657264123
reactions,0.353625311775
volleys,0.353083887142
curve,0.344687874044
acceleration,0.341369480208
interceptions,0.327208877866
balance,0.306747819402
aggression,0.300651224577
standing_tackle,0.297999748008
ball_control,0.262297853329
marking,0.241892084004
sliding_tackle,0.235143335035
penalties,0.234666596871
strength,0.212981703888
short_passing,0.211029058132
shot_power,0.194704139438
crossing,0.188823806198
agility,0.134858056893
vision,0.130235781016
dribbling,0.123441300387
gk_diving,0.106623853185
finishing,0.100214745103
gk_handling,0.0940125059576
long_passing,0.0871606495207
gk_positioning,0.0855146201185
stamina,0.0812278964848
gk_reflexes,0.034910532724
gk_kicking,0.00835393337484
