variable,col1
interceptions,0.46566626376
sprint_speed,0.380023543072
curve,0.346649482656
sliding_tackle,0.286200136784
free_kick_accuracy,0.26673022955
agility,0.223427023473
standing_tackle,0.200567999727
acceleration,0.195667921981
jumping,0.189872327284
balance,0.189349337748
crossing,0.18490265864
heading_accuracy,0.183467399206
penalties,0.177591279584
stamina,0.161340395164
long_shots,0.157622121107
aggression,0.149081264793
long_passing,0.146417812311
strength,0.134209108644
finishing,0.125691637703
marking,0.104442447178
shot_power,0.103587662468
positioning,0.100669660444
reactions,0.0957939145516
vision,0.092240351437
short_passing,0.0684724157945
gk_diving,0.0562488032548
volleys,0.0507135618626
gk_kicking,0.04301235526
gk_reflexes,0.0414122250944
gk_handling,0.0223633319031
dribbling,0.0222606119189
ball_control,0.0189598106333
gk_positioning,0.015344905013
