variable,col1
aggression,0.422580036917
interceptions,0.366106571891
long_passing,0.349880959
jumping,0.331796714235
vision,0.279098928251
crossing,0.269587184601
reactions,0.263194932847
free_kick_accuracy,0.231519547639
balance,0.23045608905
strength,0.217062816347
standing_tackle,0.216931377915
heading_accuracy,0.193716923843
positioning,0.171753002228
sliding_tackle,0.166342887962
sprint_speed,0.165270472732
volleys,0.162567672067
penalties,0.142311994111
agility,0.132181208238
curve,0.104760896924
long_shots,0.0992385227412
stamina,0.0921123142637
acceleration,0.0573779994802
dribbling,0.0537572297161
shot_power,0.051984295845
finishing,0.0495285897622
gk_positioning,0.0439903099214
marking,0.0313176240566
ball_control,0.0247284616233
gk_handling,0.0196254909404
short_passing,0.0185250298003
gk_reflexes,0.0178680042572
gk_diving,0.0135600793391
gk_kicking,0.00926583145678
