variable,col1
standing_tackle,0.305963203447
aggression,0.277665377665
heading_accuracy,0.259252101996
agility,0.169530841348
short_passing,0.169455159883
sliding_tackle,0.1651653236
jumping,0.159810911893
long_shots,0.125881052524
acceleration,0.12472187141
penalties,0.103198258783
marking,0.0985023219594
strength,0.0961879663729
sprint_speed,0.085874046887
long_passing,0.0826190565291
shot_power,0.0775645060318
reactions,0.0658790414451
crossing,0.0610997838134
interceptions,0.0605198880597
finishing,0.058715187608
dribbling,0.0549687325229
free_kick_accuracy,0.0546995211749
ball_control,0.0525508384003
balance,0.0500257529085
stamina,0.0480931718257
vision,0.0447938705225
curve,0.0410588511861
volleys,0.0403946631216
gk_handling,0.0224971149882
positioning,0.0205501644288
gk_positioning,0.0106937301496
gk_reflexes,0.0084482395087
gk_kicking,0.00279699639944
gk_diving,0.000822451606445
