variable,col1
aggression,0.757928378673
curve,0.635572045717
heading_accuracy,0.620751530514
finishing,0.614722162615
stamina,0.579643998606
penalties,0.573040190127
jumping,0.557419689026
marking,0.536543894226
crossing,0.487613561547
reactions,0.472188306787
long_shots,0.469170268384
positioning,0.456044938536
vision,0.438947208074
free_kick_accuracy,0.429200772501
strength,0.428600560111
short_passing,0.390246593839
sliding_tackle,0.381754708519
shot_power,0.374896300789
sprint_speed,0.347461694111
acceleration,0.33646471211
standing_tackle,0.333274131922
volleys,0.316447681747
agility,0.31573439089
gk_reflexes,0.292080048071
gk_kicking,0.291528716183
interceptions,0.281128284765
gk_handling,0.229771053191
balance,0.219458137481
long_passing,0.198837551508
dribbling,0.188500313174
gk_positioning,0.177823926177
gk_diving,0.140215472047
ball_control,0.126988778032
