country,league,team,count,player_ids,ratings
Italy,Italy Serie A,Empoli,27,"39302,41865,193439,206242,212643,212645,237606,41640,178732,438456,42429,182849,184770,41540,30284,192842,415308,365624,112476,282723,362212,299370,282731,620524,239213,612212,189557",67.9027625153
Italy,Italy Serie A,Fiorentina,24,"141699,47373,38699,38433,414245,113318,387499,103218,184629,43319,38458,37441,213704,196169,18506,24536,134236,103266,144999,21613,147951,206322,265725,37631",75.7874519
Italy,Italy Serie A,Frosinone,26,"195589,415500,415501,74382,201617,181920,181921,39331,184105,33706,415024,39345,213299,182715,27708,399549,42052,42443,160460,114664,38122,181997,41458,263796,156534,155262",65.8453333333
Italy,Italy Serie A,Hellas Verona,27,"30603,279820,39440,30740,42390,168727,40601,41629,184520,111794,24516,603464,182606,97502,105828,24549,206695,287337,265725,41329,541556,30709,238838,251384,553849,42491,97789",69.929526749
Italy,Italy Serie A,Inter,23,"428672,0.0,595586.0,25735,30991.0,301456,282770,206508,49970,42422,213688,214972,150466,98254,163670,155738,33888,197352,130155,40686,41199,92666.0,19327",76.9919355897
Italy,Italy Serie A,Juventus,25,"248453,30474,358155,42645,325916,421786,41884,41890,157865,24235,30902,75447,32569,176186,166595,21446,429265,155066,210278,244966,96616,42346,213501,111862,30717",79.3999047619
Italy,Italy Serie A,Lazio,26,"18945,358149,30983,362120,39562,188555,73999,317717,128036,11685,30638,230190,39599,106292,41411,463301,66890,43341,40016,26489,150747,465628,518373,38393,25594,488958",76.1678724054
Italy,Italy Serie A,Palermo,25,"0.0,362121,151050,211091,169752,42651,139806,30881.0,128803,39477,270774,655544,130113,42434,128456,670928,208852.0,118616,434778,279392,34000,108401,293235,92532,267260",69.8666666667
Italy,Italy Serie A,Sampdoria,28,"0.0,196484,195717,18823,32748,50189,319631,175646,41605,39331,660010,27702,25526,41671,30920,163918,177874,121044,24789,39643,45413,181995,610668,25587,39540.0,39422,238838.0,46078",72.7567901235
Italy,Italy Serie A,Sassuolo,25,"32769,39170,27657,540307,96532,41497,265924,79262,27685,282278,215725,74034,415539,231093,39222,73024,414788,41542,178120,293205,112476,317156,364520,183059,195199",70.2976825397
Italy,Italy Serie A,Atalanta,28,"41475,575364,39447,41879,127374,29587,49940,212630,27671,42650,198559,39201,45220,39207,40621,39726,25519,182836,24500,400957,35421,260964,201704,73841,210932,35575,506364,39294",70.5968885281
Italy,Italy Serie A,Bologna,25,"447488,362115,518663,154249,300683,27663,668307,500502,74009,199833,26522,50074,282420,415113,35644,42691,192079,39376,167634,40659,24793,244970,155246,27657,335606",70.739960928
Italy,Italy Serie A,Milan,27,"0.0,39555,30598.0,108808,24970,46241,57124,46374,27335,41269,24507.0,47041,26564,72518,39367,72656,362195,470868,244963,127460,288613,30453,166648,280276,41466,618878,154239",76.580988456
Italy,Italy Serie A,Napoli,17,"215584,193441,172899,30660,293160,187017,188652,177837,34029,46104,282775,41688,41658,39535,210428,150330,25759",78.2084195217
Italy,Italy Serie A,Roma,25,"0.0,34305,276738,264842,96398,161683,590494,26146,71466,15403,101422,161328,37950,210111,22337,245572,71500,41433,30682,45413,32746,292462,169718,161015,30714",77.6612103175
Italy,Italy Serie A,Torino,23,"362113,154246,267911,150670,210704,41432,315460,253088,239287,42692,394824,244811,174031,195413,24791,41816,309726,33640,161660,39540,213366,39419,34008",73.2927191166
Italy,Italy Serie A,Carpi,31,"0.0,414854.0,74305,414856.0,415113,39447,299886,181911,202650,212767,27558,230825,30906.0,41404,105535,18880,448321,213317,364104.0,282060,104778,300236.0,182606,157284,202341.0,267369.0,299374,306296,111739,161661.0,80126",69.3072101972
Italy,Italy Serie A,Chievo Verona,23,"24448,18880,39304,22283,42008,33816,36121,195998,212770,57123,24504,39487,150464,109121,42437,41542,39232,27731,39273,166509,26223,15732,37503",72.4130952381
Italy,Italy Serie A,Genoa,28,"72707,231176,52243,181910,42651,364532,429988,30940,110378,101422,41269,671159,258873,301023,164029,162885,41655,30928,280276,46297,134236,242783,202341,119014,26221,39284,38139,25597",72.965664296
Italy,Italy Serie A,Udinese,28,"38920,128020,24516,39450,422685,401095,25772,19249,39357,401343,279873,49860,192325,27719,49866,116555,282060,179791,27734,267863,275034,41694,476771,41318,13033,268394,195190,192504",73.2380849309
