variable,col1
gk_positioning,0.325065855124
gk_diving,0.307850386308
reactions,0.290211200856
crossing,0.111901387477
positioning,0.107639545985
aggression,0.101446512602
heading_accuracy,0.0902760394498
curve,0.0869611639217
marking,0.0804891693648
balance,0.0537483636065
sliding_tackle,0.0537483636065
finishing,0.0502996580094
volleys,0.0502996580094
free_kick_accuracy,0.0452444248669
acceleration,0.0418990060307
long_shots,0.0352638690472
stamina,0.0323969069446
interceptions,0.0223672579175
dribbling,0.0164347993792
long_passing,0.0164347993792
penalties,0.0164347993792
gk_kicking,0.0134370909016
sprint_speed,0.0104747515077
gk_handling,0.0104747515077
standing_tackle,0.00730321862416
jumping,0.00656337273763
strength,0.00586204091029
ball_control,0.00355210727939
gk_reflexes,0.00261868787692
agility,0.00182733910619
vision,0.00117895704341
short_passing,0.000294515241799
shot_power,0.0
