variable,col1
aggression,0.715161471937
heading_accuracy,0.508042211881
stamina,0.460396867175
balance,0.409296066032
finishing,0.387995070757
free_kick_accuracy,0.378165947833
marking,0.365822058616
vision,0.365561120706
crossing,0.358695360359
acceleration,0.349369806804
sprint_speed,0.344234538691
sliding_tackle,0.342427482895
long_passing,0.323123333212
agility,0.321104125286
volleys,0.298210784601
dribbling,0.29061405713
strength,0.281793200708
standing_tackle,0.276709020496
jumping,0.257161079362
interceptions,0.214836415317
penalties,0.211482455052
shot_power,0.207258558551
curve,0.203443367726
long_shots,0.178987496001
gk_kicking,0.160005461266
positioning,0.15202023368
short_passing,0.140121100279
reactions,0.138679850431
ball_control,0.135180283938
gk_reflexes,0.0950122048979
gk_handling,0.0520682143102
gk_diving,0.0397279470236
gk_positioning,0.0372928070455
