name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Massimo Maccarone,73.0,60.5,76.5,64.5,68.5,70.5,70.5,72.5,68.5,50.5,74.5,74.0,69.5,68.0,70.5,70.0,74.5,65.0,55.0,65.0,74.5,50.5,20.5,78.5,64.5,72.5,24.5,26.5,28.5,10.5,14.5,7.5,8.5,7.5,for
Alberto Pelagotti,65.0,12.0,11.0,10.0,20.0,13.0,12.0,19.0,11.0,13.0,11.0,37.0,42.0,47.0,63.0,30.0,21.0,75.0,34.0,65.0,14.0,31.0,20.0,11.0,25.0,22.0,11.0,15.0,20.0,63.0,64.0,61.0,65.0,69.0,gk
Daniele Croce,71.4,64.6,48.6,49.2,75.0,50.2,69.4,56.2,58.2,72.2,72.6,76.4,75.2,74.0,73.0,78.0,65.2,76.0,77.2,64.8,62.2,74.6,69.0,67.4,71.4,59.2,58.2,68.2,67.4,11.2,11.2,5.2,7.2,12.2,mid
Marco Zambelli,68.0,64.5,40.5,54.5,64.5,39.5,57.5,50.5,42.5,58.5,64.5,70.5,75.25,62.0,67.5,72.0,64.5,70.0,85.0,73.0,62.5,72.5,65.5,47.5,37.5,41.5,66.0,68.5,69.0,8.5,7.5,12.5,14.5,14.5,def
Andrea Costa,72.67,51.33,26.33,70.33,61.33,21.33,57.33,58.33,26.33,59.33,63.33,68.0,68.0,66.0,70.33,60.0,61.33,84.0,76.0,75.0,36.33,71.33,81.33,34.33,33.33,36.33,73.0,72.0,72.0,7.33,8.33,6.33,10.33,12.33,def
Maurizio Pugliesi,61.5,18.5,21.0,17.5,25.5,23.5,25.5,23.5,18.0,19.0,27.0,45.0,27.0,38.0,57.5,43.0,35.0,66.0,34.0,62.0,20.5,19.5,24.5,18.5,20.0,21.0,20.0,20.5,22.0,65.5,47.5,69.5,65.5,66.5,gk
Lorenzo Ariaudo,70.8,34.4,29.4,71.4,59.4,21.4,39.4,40.4,29.4,64.4,59.4,44.0,55.0,44.0,65.4,62.0,46.4,76.0,60.0,68.0,33.4,73.4,71.4,32.4,44.4,29.4,75.2,75.2,72.2,7.4,8.4,10.4,8.4,9.4,def
Lukasz Skorupski,71.0,22.0,18.0,17.5,28.5,21.0,21.5,18.5,22.0,25.5,25.0,48.0,50.0,45.0,67.5,38.0,25.0,46.0,31.0,58.0,20.0,32.5,21.0,19.0,28.5,21.5,17.5,18.5,18.5,75.5,66.5,50.5,72.5,74.5,gk
Ronaldo,62.43,48.43,45.43,40.43,62.43,46.43,59.43,72.43,74.43,68.43,66.43,63.0,53.0,74.0,63.43,76.0,64.43,65.0,70.86,52.0,51.43,62.43,56.43,64.43,65.43,58.43,42.43,35.43,40.43,11.43,8.43,9.43,6.43,6.43,mid
Uros Cosic,66.5,22.25,23.0,66.25,54.25,28.25,54.25,32.25,31.25,43.25,57.25,64.0,76.0,57.0,59.25,62.0,48.25,61.0,66.0,74.5,36.25,70.25,64.25,23.25,20.25,29.25,66.75,68.75,70.75,13.25,5.25,14.25,7.25,11.25,def
Marcel Buechel,65.57,61.43,47.43,47.43,72.71,57.43,68.14,63.43,57.43,70.43,71.57,69.0,65.57,67.86,64.57,78.86,53.14,69.57,72.43,62.43,53.71,49.86,53.29,54.43,66.86,55.43,33.71,49.71,45.71,7.43,3.43,2.43,6.43,6.43,mid
Raffaele Maiello,64.5,52.25,55.25,53.25,69.25,39.25,65.25,54.25,57.25,63.25,73.25,75.0,75.0,72.0,64.25,75.0,63.25,74.0,71.25,63.0,60.25,65.25,53.25,59.25,64.25,59.25,42.25,56.25,53.25,10.25,10.25,4.25,10.25,11.25,mid
Marko Livaja,69.5,45.5,72.0,71.0,58.5,64.5,65.5,55.5,45.5,38.5,73.5,74.0,65.0,67.0,64.5,64.0,74.5,78.0,69.0,73.0,47.5,86.0,24.5,74.5,55.5,67.5,21.5,21.5,20.5,14.5,8.5,11.5,14.5,11.5,for
Lorenzo Tonelli,75.33,40.33,24.33,76.67,55.33,32.33,45.33,37.33,22.33,58.67,55.33,61.67,64.83,54.5,74.0,60.67,51.33,77.67,60.0,76.0,24.33,79.67,77.67,22.33,29.33,34.33,78.67,78.67,76.67,12.33,10.33,12.33,10.33,5.33,def
Riccardo Saponara,73.4,70.1,62.3,62.1,77.5,64.1,78.3,74.1,65.4,71.1,80.7,74.0,78.0,72.0,65.5,68.3,72.1,64.0,68.7,69.0,67.2,55.5,23.7,69.3,73.0,65.8,24.4,30.4,30.4,4.4,2.4,4.4,4.4,2.4,mid
Leandro Daniel Paredes,69.78,63.11,54.44,44.44,77.78,70.22,72.22,69.22,70.89,74.11,80.0,78.0,76.0,75.0,67.11,78.0,79.89,61.0,69.0,59.0,76.56,66.22,25.56,63.89,72.22,56.67,46.33,54.0,55.56,8.44,13.44,5.44,8.44,9.44,mid
Michele Camporese,65.75,19.5,19.5,64.5,55.5,18.0,44.5,20.5,22.5,49.5,57.0,69.75,66.0,65.0,58.5,60.0,49.75,73.0,65.0,69.0,37.5,68.25,66.0,22.5,22.5,41.5,69.0,66.0,68.0,10.5,7.5,6.5,8.5,11.5,def
Manuel Pucciarelli,71.29,61.57,68.57,51.14,71.57,68.14,74.14,35.14,30.43,60.43,75.29,86.29,78.0,84.0,69.57,85.29,73.71,72.0,73.29,51.43,66.57,53.71,30.43,70.71,62.43,58.43,22.57,30.0,25.86,6.43,4.43,9.43,7.43,7.43,for
Mario Rui,71.8,69.4,26.2,61.4,64.0,46.2,67.0,57.2,59.2,64.0,66.6,88.6,87.6,86.6,71.4,92.0,64.6,91.0,89.4,32.0,66.2,74.6,71.0,57.0,43.0,59.2,64.8,72.2,71.6,12.2,4.2,8.2,7.2,13.2,def
Vincent Laurini,69.0,65.0,22.0,58.0,60.0,38.0,58.0,59.0,40.0,60.0,62.0,76.0,69.0,74.0,73.0,78.0,47.0,76.0,79.0,60.0,39.0,76.0,68.0,42.0,38.0,41.0,69.0,72.0,73.0,9.0,11.0,12.0,14.0,12.0,def
Piotr Zielinski,70.12,68.12,63.5,51.5,74.88,63.5,74.38,54.5,64.5,71.12,76.62,70.62,69.0,72.0,67.38,76.0,69.5,55.0,70.38,34.0,66.5,57.12,36.12,64.38,68.0,50.5,34.5,47.75,45.0,11.5,8.5,11.5,10.5,5.5,mid
Federico Barba,68.4,34.2,20.2,65.6,49.6,31.2,40.0,29.2,28.2,51.6,50.0,50.6,58.0,48.0,68.0,37.8,45.2,60.0,55.0,73.0,30.2,75.6,68.0,26.2,25.8,34.2,72.8,73.2,71.2,6.2,10.2,11.2,12.2,7.2,def
Luca Bittante,62.0,66.0,38.0,57.0,66.0,39.0,62.0,50.0,43.0,62.0,64.0,64.0,74.0,60.0,68.0,55.0,54.0,55.0,75.0,60.0,40.0,68.0,56.0,48.0,50.0,45.0,56.0,60.0,60.0,9.0,9.0,12.0,11.0,7.0,def
Rade Krunic,65.33,51.0,52.0,47.0,73.33,48.0,62.0,61.0,49.0,70.0,68.0,69.0,69.0,72.0,51.33,60.0,70.0,55.0,45.33,65.0,63.0,50.0,25.0,64.0,68.0,58.0,41.0,47.0,54.67,14.0,9.0,12.0,10.0,14.0,mid
Assane Diousse,60.4,43.0,36.0,59.0,73.0,36.0,58.2,48.0,50.0,66.6,64.8,61.0,58.8,56.0,56.0,75.0,59.0,61.0,49.8,51.8,41.0,62.8,55.2,37.0,61.4,56.0,49.0,61.0,64.0,9.0,11.0,12.0,11.0,8.0,mid
Alessandro Piu,61.0,43.0,68.0,62.0,58.0,62.0,63.0,69.0,48.0,53.0,62.0,62.0,57.0,57.0,58.0,66.0,63.0,61.0,55.0,52.0,59.0,39.0,20.0,56.0,60.0,75.0,15.0,18.0,16.0,12.0,13.0,7.0,10.0,8.0,for
