variable,col1
strength,0.636887046615
interceptions,0.570236947786
positioning,0.53746604169
balance,0.500931134825
heading_accuracy,0.494910727765
volleys,0.438734344892
aggression,0.400557674109
stamina,0.378916944428
crossing,0.349082374135
standing_tackle,0.343649625494
sliding_tackle,0.34025394838
free_kick_accuracy,0.338861968955
finishing,0.321417854681
curve,0.321050256984
sprint_speed,0.289524108486
marking,0.289429305733
shot_power,0.263558001322
long_shots,0.240026074629
ball_control,0.212016024944
jumping,0.208064803519
agility,0.183704901454
dribbling,0.169424530807
long_passing,0.154512638931
reactions,0.152800243676
acceleration,0.132647934422
penalties,0.131273782859
short_passing,0.122732538684
vision,0.111004598149
gk_kicking,0.10546371196
gk_reflexes,0.0766334806934
gk_diving,0.0723161914567
gk_handling,0.0695725285122
gk_positioning,0.042337709022
