name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Danilo Soddimo,65.83,64.83,46.67,46.67,60.67,48.67,68.33,59.67,60.67,57.33,68.67,75.67,80.33,78.67,65.0,71.0,66.67,74.0,84.33,66.0,62.33,47.67,16.33,63.33,55.67,56.67,16.33,16.33,17.67,7.67,7.67,10.67,8.67,5.67,for
Paolo Sammarco,67.0,59.5,44.5,57.5,68.0,59.5,64.5,59.5,55.5,70.5,68.5,70.25,69.0,67.0,69.0,66.0,67.5,70.0,79.0,69.0,69.5,65.5,62.5,61.0,63.5,59.5,55.5,64.5,61.5,4.5,7.5,10.5,12.5,9.5,mid
Adriano Russo,64.75,24.5,21.5,66.0,50.5,19.0,26.5,21.0,22.0,42.5,39.5,54.0,58.75,51.0,65.5,52.0,34.5,78.0,68.0,77.88,21.5,66.5,60.5,19.0,20.5,27.5,68.5,66.5,62.0,9.5,12.5,7.5,12.5,5.5,def
Modibo Diakite,72.83,40.33,20.33,67.67,51.0,31.33,40.33,30.33,30.33,55.33,51.67,64.0,79.0,33.0,69.67,33.0,78.33,86.0,59.0,87.33,50.33,78.33,73.0,38.33,34.33,40.33,74.33,75.0,73.0,10.33,6.33,7.33,12.33,12.33,def
Aleandro Rosi,68.0,72.4,47.4,59.4,65.4,41.4,67.4,67.4,53.4,65.4,67.4,79.0,80.0,70.0,69.4,60.0,71.4,68.0,79.0,76.0,64.4,77.4,68.4,61.4,54.4,49.4,61.4,67.4,69.4,5.4,11.4,7.4,13.4,6.4,def
Massimo Zenildo Zappino,66.0,12.0,22.0,22.0,28.0,13.0,23.0,18.0,13.0,32.0,21.0,49.0,49.0,42.0,65.0,30.0,23.0,68.0,20.0,64.0,12.0,43.0,27.0,12.0,36.0,21.0,13.0,11.0,12.0,64.0,72.0,58.0,68.0,64.0,gk
Daniel Ciofani,66.33,25.33,64.67,74.0,53.33,51.67,46.33,33.33,47.33,22.33,62.33,47.67,70.67,36.0,72.0,39.0,75.0,86.0,58.0,79.33,66.33,65.33,28.33,76.67,37.33,68.33,22.0,21.33,20.67,10.33,8.33,6.33,12.33,14.33,for
Alessandro Frara,65.25,46.5,32.5,47.5,68.0,42.5,59.0,52.5,57.5,65.0,63.0,52.5,53.5,67.0,74.0,62.0,62.5,64.0,76.5,58.0,73.5,72.0,74.0,50.0,60.5,52.5,40.5,65.5,39.5,9.5,13.5,5.5,14.5,7.5,mid
Massimiliano Carlini,63.5,59.5,53.0,46.5,58.5,64.5,57.5,61.5,61.5,55.0,60.5,77.0,83.0,89.0,61.5,77.0,62.5,63.0,68.0,69.5,55.5,39.5,25.5,67.5,64.0,56.5,19.0,19.0,20.0,11.5,6.5,6.5,7.5,14.5,mid
Daniel Pavlovic,62.0,62.4,28.2,57.2,62.2,43.2,61.2,52.1,52.3,57.2,60.2,63.5,66.6,60.0,58.8,57.0,65.0,62.0,74.4,65.0,36.2,59.2,58.2,65.0,55.2,51.2,62.8,66.6,56.8,14.2,6.2,13.2,9.2,14.2,def
Robert Gucher,66.33,40.5,43.0,46.5,70.0,43.5,59.0,52.5,66.5,66.0,64.0,58.33,67.17,76.0,64.0,55.0,68.5,66.0,82.0,70.0,73.0,66.5,75.0,57.5,66.5,60.5,30.5,62.0,43.5,13.5,4.5,6.5,6.5,9.5,mid
Aleksandar Tonev,66.5,63.5,58.5,54.5,62.5,63.5,69.5,68.5,66.5,63.5,64.5,89.0,86.0,87.0,56.5,78.0,79.5,72.0,80.5,58.0,73.5,44.5,47.5,51.5,61.5,52.5,31.5,56.5,48.5,6.5,6.5,8.5,13.5,13.5,mid
Francesco Bardi,74.0,22.67,20.0,20.33,30.33,22.33,21.0,21.33,23.0,30.33,18.0,37.67,37.33,46.0,74.67,33.0,29.0,76.0,29.0,54.0,22.67,20.33,20.0,20.33,28.0,20.33,20.67,20.33,20.0,77.33,71.0,59.33,69.33,82.0,gk
Federico Dionisi,71.0,29.67,73.67,66.0,64.0,70.0,67.0,56.67,50.67,31.67,67.33,67.17,76.17,62.0,74.0,64.0,74.0,72.0,68.67,62.33,70.0,51.67,29.67,75.33,52.33,73.67,22.67,22.67,23.67,5.67,10.67,7.67,5.67,10.67,for
Leonardo Blanchard,66.5,36.5,23.0,66.75,48.0,18.5,32.5,36.5,32.5,52.5,48.0,54.0,67.0,51.0,61.0,53.0,19.0,81.0,69.0,85.0,18.5,69.0,57.75,19.5,29.5,29.5,64.5,69.5,69.5,5.5,11.5,6.5,11.5,6.5,def
Matteo Ciofani,63.6,45.2,20.2,59.0,54.6,21.8,39.2,20.4,28.4,45.2,47.6,59.0,70.0,46.0,67.0,61.0,44.4,81.0,64.4,76.0,31.4,67.0,65.2,24.4,24.4,21.4,62.4,66.0,64.8,4.4,8.4,4.4,8.4,10.4,def
Oliver Kragl,66.5,64.5,48.5,57.5,63.5,63.5,66.5,71.5,75.5,61.5,66.5,72.0,74.0,64.0,71.5,56.0,84.5,32.0,72.0,76.0,77.5,81.5,66.5,65.5,54.5,60.5,59.5,65.5,62.5,15.5,6.5,12.5,13.5,11.5,for
Samuele Longo,69.5,55.5,71.5,67.5,59.5,70.5,68.0,62.5,42.5,34.5,72.5,75.0,75.0,71.0,63.0,70.0,71.5,78.0,69.0,74.0,64.5,77.0,20.0,69.25,44.5,67.5,18.0,19.5,19.5,6.5,7.5,12.5,9.5,13.5,for
Davide Bertoncini,60.2,21.4,23.6,62.6,43.6,17.2,50.6,20.8,20.6,35.6,49.6,65.0,55.0,61.4,48.6,54.8,47.6,69.4,67.0,73.0,43.6,51.6,54.6,17.2,20.6,44.6,67.8,63.8,58.8,4.6,11.6,10.6,4.6,5.6,def
Nicola Leali,72.0,20.6,20.2,19.4,19.8,21.4,20.2,22.2,21.8,20.2,24.2,33.0,32.0,34.0,64.0,32.0,29.4,70.0,27.0,65.0,21.8,29.4,24.4,19.8,29.0,21.8,19.8,20.2,22.6,75.4,70.2,59.4,67.4,79.4,gk
Arlind Ajeti,65.17,50.67,21.17,64.0,58.67,40.0,43.33,43.5,41.67,57.33,55.67,70.33,77.0,63.0,61.33,52.0,54.5,78.67,67.17,82.33,34.0,64.33,64.0,32.17,46.33,46.17,63.0,64.0,63.0,11.0,10.0,8.0,11.0,12.0,def
Raman Chibsah,67.5,57.5,39.5,58.83,71.5,42.83,68.17,47.5,45.5,67.5,66.83,75.0,68.5,76.0,73.83,75.0,69.5,64.0,80.0,69.0,60.5,75.5,67.5,59.5,61.5,51.5,55.5,65.5,65.5,8.5,4.5,9.5,8.5,4.5,mid
Roberto Crivello,60.83,59.5,27.0,47.5,41.0,29.5,50.5,30.5,31.5,40.0,52.5,69.5,73.83,57.0,58.5,57.0,45.0,58.0,71.0,60.0,32.5,57.5,60.5,22.5,24.5,36.5,60.0,65.5,69.0,5.5,10.5,6.5,12.5,8.5,def
Mirko Gori,56.0,39.67,31.67,46.0,62.67,34.67,53.33,41.0,39.33,61.0,58.33,67.0,54.0,67.0,56.33,65.0,51.33,48.0,63.67,50.0,39.67,54.67,58.0,38.33,56.67,40.33,47.33,53.0,41.33,14.33,10.33,10.33,12.33,4.33,mid
Luca Paganini,59.0,55.0,24.33,33.33,57.33,39.33,66.0,56.33,41.33,47.67,63.0,69.0,75.67,71.0,55.0,62.0,63.33,40.0,61.67,57.5,61.0,31.33,26.33,55.67,55.33,54.33,21.33,22.67,22.33,6.33,6.33,9.33,10.33,6.33,for
