name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Antonio Candreva,83.0,90.0,74.25,55.0,81.25,79.0,85.75,82.0,79.0,75.0,86.5,86.75,84.75,78.75,81.25,76.0,89.75,57.0,93.0,69.25,86.75,66.0,49.0,77.0,82.25,88.0,41.0,44.0,44.0,10.0,4.0,14.0,4.0,14.0,mid
Santiago Gentiletti,74.67,48.67,17.0,75.0,61.0,29.67,59.0,50.67,54.0,63.0,63.0,69.0,69.0,61.0,75.0,62.0,69.67,76.67,62.0,76.33,40.0,78.0,75.67,28.67,45.67,42.67,76.33,77.33,76.33,13.67,8.67,11.67,5.67,13.67,def
Stefano Mauri,79.0,78.5,75.67,79.5,80.5,84.5,74.5,81.5,77.5,79.17,82.5,69.0,68.0,84.5,82.5,56.0,76.5,78.0,66.0,78.0,74.5,66.5,67.5,83.5,79.17,75.5,55.5,73.5,69.5,7.5,11.5,5.5,4.5,12.5,for
Edson Braafheid,72.0,80.0,31.0,65.0,72.0,48.0,70.0,73.0,69.0,65.0,70.0,69.0,69.0,73.0,73.0,72.0,66.0,74.0,69.0,78.0,46.0,72.0,69.0,58.0,53.0,57.0,74.0,76.0,74.0,15.0,9.0,9.0,7.0,14.0,def
Miroslav Klose,80.5,64.0,85.0,89.0,71.0,78.0,73.0,74.0,50.0,43.0,78.0,70.75,69.0,64.0,77.0,61.0,76.0,90.0,53.0,72.0,52.0,46.0,23.0,87.0,63.0,81.0,20.0,27.0,22.0,4.0,13.0,12.0,9.0,9.0,for
Dusan Basta,78.67,77.67,59.67,70.67,75.0,67.67,75.67,72.67,65.67,73.67,77.0,78.0,80.67,70.0,77.67,68.0,81.67,70.0,81.0,76.0,76.67,79.0,82.0,65.67,55.67,54.67,77.0,80.67,79.67,11.67,5.67,10.67,13.67,13.67,def
Lucas Biglia,80.62,62.0,52.0,55.0,86.0,75.25,73.0,76.0,74.12,79.75,84.38,67.75,65.5,76.0,81.12,77.0,75.12,61.0,82.0,75.0,73.12,82.25,81.5,55.0,80.12,64.0,68.75,81.62,78.38,14.0,12.0,7.0,12.0,7.0,mid
Abdoulay Konko,74.0,74.25,49.25,65.25,77.25,64.25,78.25,71.25,56.25,73.25,76.25,81.5,84.0,79.0,75.75,72.0,73.25,76.0,74.0,77.0,68.25,79.25,76.25,67.25,56.25,49.25,67.0,72.75,71.0,11.25,14.25,9.25,10.25,13.25,def
Federico Marchetti,80.0,13.0,17.0,12.0,36.0,12.0,11.0,14.0,12.0,35.0,20.0,55.0,51.0,60.0,84.0,61.0,20.0,84.0,34.0,62.0,13.0,36.0,22.0,12.0,45.0,22.0,19.0,12.0,14.0,82.0,76.0,66.0,78.0,87.0,gk
Milan Bisevac,76.33,46.33,41.33,75.33,72.67,41.33,47.33,42.33,45.33,71.33,68.67,52.0,66.0,51.0,70.33,52.0,68.33,73.0,72.67,80.0,54.33,79.67,77.67,48.33,57.33,58.33,78.33,78.33,74.0,11.33,7.33,14.33,13.33,14.33,def
Alessandro Matri,76.5,49.5,81.0,79.5,65.5,75.5,68.0,69.5,45.5,42.0,75.0,78.5,79.0,73.0,71.5,70.0,77.5,85.0,73.5,75.0,55.5,50.5,24.5,82.0,59.5,77.5,21.0,27.5,23.5,3.5,3.5,3.5,4.5,3.5,for
Stefan Daniel Radu,78.33,67.67,39.67,71.67,71.67,33.67,65.67,41.67,41.67,63.67,65.67,78.0,78.0,74.0,77.67,62.0,78.67,83.0,77.0,77.0,73.67,78.67,84.67,54.67,29.67,59.67,85.0,84.33,83.0,8.67,11.67,11.67,5.67,12.67,def
Senad Lulic,77.43,82.57,65.43,67.43,77.43,64.43,79.43,75.43,60.43,77.43,77.43,83.0,85.0,74.0,79.43,74.86,83.43,71.0,91.0,78.0,78.43,78.43,73.71,77.43,69.43,54.43,63.43,77.43,75.43,4.43,11.43,13.43,9.43,4.43,mid
Marco Parolo,79.2,73.4,72.0,72.4,79.8,74.2,73.2,66.4,54.4,79.0,77.8,72.0,76.0,69.0,81.2,68.6,85.2,77.0,82.2,78.6,83.0,84.8,78.4,82.8,75.6,44.4,66.8,79.4,81.4,12.4,8.4,5.4,6.4,8.4,mid
Filip Djordjevic,79.5,47.5,84.0,86.5,70.0,75.5,68.5,63.5,54.5,36.5,78.0,70.5,74.5,64.0,81.5,67.5,79.5,89.0,78.0,89.5,66.5,74.5,38.5,84.5,61.5,73.5,20.0,41.5,33.5,6.5,8.5,7.5,14.5,8.5,for
Mauricio,77.0,53.38,51.38,78.5,65.38,50.38,54.38,43.38,44.38,55.38,60.38,66.5,71.75,58.0,74.25,60.0,55.38,88.0,71.5,82.38,52.38,74.25,78.25,31.38,45.38,51.38,79.25,80.0,77.75,10.38,14.38,7.38,6.38,7.38,def
Etrit Berisha,73.0,11.0,13.0,12.0,19.0,11.0,12.0,13.0,12.0,26.0,17.0,28.0,28.0,33.0,68.0,30.0,24.0,57.0,39.0,64.0,15.0,30.0,22.0,12.0,42.0,22.0,14.0,10.0,11.0,77.0,72.0,65.0,72.0,77.0,gk
Stefan de Vrij,82.0,49.0,25.0,77.0,70.0,27.0,61.0,45.0,16.0,71.0,72.0,65.0,67.0,68.0,80.0,56.0,65.0,78.0,70.5,79.0,60.0,75.0,87.0,32.0,51.0,41.0,87.0,86.0,82.0,8.0,10.0,7.0,14.0,13.0,def
Felipe Anderson,77.44,71.0,66.33,43.33,75.33,58.33,85.0,75.33,74.33,69.0,81.44,92.11,90.11,86.33,65.89,82.89,80.78,49.0,72.11,55.11,81.11,30.33,25.33,68.67,68.89,54.33,24.0,25.33,24.67,11.33,9.33,8.33,4.33,6.33,for
Ogenyi Onazi,74.75,66.75,48.75,51.75,75.75,58.75,72.75,70.75,59.75,75.75,76.75,83.0,78.0,89.0,70.75,90.75,73.75,55.0,84.0,68.0,76.75,74.75,75.75,68.75,72.75,59.75,63.75,76.75,76.75,12.75,8.75,12.75,13.75,6.75,mid
Patric,65.6,64.4,28.4,64.2,70.2,24.4,49.2,45.4,47.4,54.4,66.4,70.2,67.8,65.0,62.4,58.0,51.0,68.0,75.0,69.6,49.2,63.6,67.2,35.4,61.4,40.4,60.2,65.4,63.8,7.4,13.4,11.4,8.4,13.4,def
Danilo Cataldi,70.25,67.25,59.5,49.5,76.0,49.5,70.0,66.5,68.5,73.0,75.0,73.0,69.0,74.0,63.75,74.0,73.75,55.0,68.0,65.0,74.0,70.5,61.5,65.75,71.0,51.5,51.5,58.0,56.0,6.5,9.5,10.5,11.5,8.5,mid
Sergej Milinkovic-Savic,67.2,41.73,38.33,68.0,68.33,43.67,56.4,41.67,48.2,66.2,68.6,62.73,59.93,57.8,63.13,52.87,59.87,71.2,75.73,84.4,46.2,64.13,69.47,44.67,63.73,39.13,58.8,67.87,70.33,6.33,9.33,6.33,15.33,6.33,mid
Wesley Hoedt,72.5,45.33,29.33,73.33,68.17,26.33,54.33,30.33,35.33,69.0,64.33,61.5,66.33,44.67,63.17,45.0,50.33,74.0,65.33,84.0,39.33,72.17,69.17,28.33,37.33,36.33,75.17,73.5,66.83,14.33,9.33,12.33,7.33,10.33,def
Balde Diao Keita,76.2,72.6,69.0,53.6,70.6,59.6,83.4,71.6,59.6,65.6,81.4,88.2,90.2,79.0,68.6,77.0,78.6,66.0,75.0,76.0,70.6,53.6,30.6,69.6,67.8,59.6,20.2,28.6,27.6,11.6,7.6,12.6,7.6,14.6,for
Ricardo Kishna,74.67,76.33,62.0,56.67,66.33,67.33,83.83,74.33,69.33,67.0,83.17,85.67,84.0,78.0,72.33,61.33,74.67,48.0,67.0,69.33,62.67,42.67,21.67,58.67,72.67,50.67,21.67,31.67,28.67,11.67,6.67,14.67,9.67,6.67,for
