variable,col1
stamina,0.611345787927
crossing,0.597293855035
shot_power,0.467722907312
standing_tackle,0.434900981697
long_shots,0.43232683266
finishing,0.360669836134
agility,0.315498862279
curve,0.299259621731
volleys,0.293587230363
balance,0.289228435697
vision,0.229674956985
short_passing,0.227209164714
interceptions,0.193540065798
acceleration,0.184848787036
free_kick_accuracy,0.174320985217
dribbling,0.164281068147
penalties,0.164107746225
long_passing,0.156683841796
strength,0.151930110288
positioning,0.14605329314
marking,0.130874997116
sprint_speed,0.127301106828
aggression,0.121500714364
reactions,0.115504602961
jumping,0.111689061681
ball_control,0.0974171931648
heading_accuracy,0.0966604688598
sliding_tackle,0.0902413198836
gk_reflexes,0.0811543730705
gk_positioning,0.0577429353328
gk_kicking,0.0372424868105
gk_handling,0.0239048281609
gk_diving,0.0142815415875
